T,FC,x1,x2,x3,x4
1,0,0.0531,4.0,1.0,0.02641899426540013
2,2,0.0619,20.0,0.0,0.021571271840366616
3,0,0.158,1.0,0.5,0.026673616679547183
4,3,0.081,1.0,0.5,0.0007498799353014451
5,6,1.046,32.0,2.0,0.6734104843735027
6,9,1.75,32.0,5.0,1.082033462434046
7,6,2.96,24.0,4.5,0.13882830000137836
8,9,4.97,24.0,2.5,3.5605206805261975
9,2,0.42,24.0,4.0,0.27330436194783553
10,4,4.7,30.0,2.0,4.624266392943056
11,0,0.9,0.0,0.0,0.30911879415245624
12,3,1.5,8.0,4.0,0.8523885018239712
13,2,2.0,8.0,6.0,1.3625351831335744
14,2,1.2,12.0,4.0,0.8925812126192827
15,2,1.2,20.0,6.0,0.734949351621866
16,2,2.2,32.0,10.0,0.1913945022121383
17,1,7.6,24.0,8.0,2.041224652361137
