T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,35,0.0531,4.0,1.0,0.05088040903332926,3.7508579198715224,0.6133535930569007,0.015929221590654165,0.39279402036715716
2,20,0.0619,20.0,0.0,0.060894284727228465,14.589838690303774,0.0,0.026637296058762864,3.2169778040162367
3,7,0.158,1.0,0.5,0.1248871661608327,0.610922711412016,0.11168233311246906,0.057873391757872754,0.6132774424611063
4,4,0.081,1.0,0.5,0.06320355674473789,0.07241214883296199,0.44555828762644,0.04429870358576909,0.3007245671637171
5,4,1.046,32.0,2.0,0.22887495115134984,11.401148120303688,0.5540297757098454,0.12038962997232122,26.94760302921347
6,2,1.75,32.0,5.0,0.02661516710086842,17.841776347829292,1.8125807657174753,0.1361469350170114,29.515035506487248
7,0,2.96,24.0,4.5,1.8400100898084455,10.41106340813148,0.7656238891320951,2.219308645039969,9.337138135406986
8,0,4.97,24.0,2.5,1.6961391733911364,19.232673408930715,0.8244682851315919,4.123468529913111,16.011051540595368
9,0,0.42,24.0,4.0,0.2778598501484758,8.33885159717001,3.3726013511083663,0.1308276511872023,8.839632303247054
10,0,4.7,30.0,2.0,3.529678631056256,10.545147222581743,0.4993567500723577,0.6911331480225157,24.86569191282633
11,0,0.9,0.0,0.0,0.43838773583145174,0.0,0.0,0.26972298511511733,0.0
12,0,1.5,8.0,4.0,1.3107009015314397,2.8693980331284177,0.360016014824017,0.05263053856057204,7.016571079173687
13,0,2.0,8.0,6.0,0.14701800480127436,2.242610084286179,5.1562857346963415,0.07482722715868095,1.7815716523866154
14,0,1.2,12.0,4.0,1.0349847775839989,8.260966858220918,0.4607866139799115,1.0575626536876792,4.535748161787779
15,0,1.2,20.0,6.0,1.1483984276237962,19.066329920038193,4.142732364748472,0.9173837897184307,3.49872433963339
16,0,2.2,32.0,10.0,1.7874249568806155,14.373279296900844,4.383242157786265,0.639247557877696,11.533879995550947
17,0,7.6,24.0,8.0,5.408969569219591,22.548568143560942,4.664571725291666,1.2714803677418174,23.863535078287278
