T,FC,x1,x2,x3,x4
1,1,0.0531,4.0,1.0,0.02544542826231059
2,2,0.0619,20.0,0.0,0.02299540332773681
3,2,0.158,1.0,0.5,0.06083881955020528
4,3,0.081,1.0,0.5,0.02587492342221019
5,6,1.046,32.0,2.0,0.6389407186172175
6,13,1.75,32.0,5.0,0.24433453298990376
7,7,2.96,24.0,4.5,0.8463896061665601
8,3,4.97,24.0,2.5,1.293642515251366
9,0,0.42,24.0,4.0,0.08615919300008304
10,7,4.7,30.0,2.0,1.3132913921414076
11,1,0.9,0.0,0.0,0.231914275749855
12,1,1.5,8.0,4.0,1.2750252204483106
13,0,2.0,8.0,6.0,1.1713176807471017
14,1,1.2,12.0,4.0,0.8231996911844702
15,0,1.2,20.0,6.0,0.8369442436762763
16,0,2.2,32.0,10.0,1.0148336207543147
17,2,7.6,24.0,8.0,6.19471925792313
