T,FC,x1,x2,x3,x4,x5
1,2,0.0531,4.0,1.0,0.009147998332281847,1.266286230340056
2,1,0.0619,20.0,0.0,0.0009608801301078816,7.015361753028158
3,3,0.158,1.0,0.5,0.09968699900816724,0.3468533623118285
4,1,0.081,1.0,0.5,0.01734324543360012,0.43354921444905514
5,9,1.046,32.0,2.0,0.512251028865444,2.8621536439694424
6,12,1.75,32.0,5.0,1.316085832476867,14.470876083970431
7,2,2.96,24.0,4.5,2.1473524390929706,21.200032171008523
8,0,4.97,24.0,2.5,1.836044729120968,3.1661741160265837
9,2,0.42,24.0,4.0,0.22039676456717885,13.16457939755471
10,6,4.7,30.0,2.0,0.6904981380468206,18.272500198095504
11,1,0.9,0.0,0.0,0.25717135939856545,0.0
12,2,1.5,8.0,4.0,0.3310269155450303,7.807175209655391
13,0,2.0,8.0,6.0,0.2341785593210517,5.020271465841925
14,0,1.2,12.0,4.0,0.860024219604997,5.0070894512851245
15,3,1.2,20.0,6.0,0.20249532249191854,12.79553862762608
16,4,2.2,32.0,10.0,1.2807777178303246,15.088270039713876
17,3,7.6,24.0,8.0,6.3890527219961335,22.706346735391122
