T,FC,x1,x2,x3,x4,x5,x6
1,4,0.0531,4.0,1.0,0.006401019349759745,2.230159280006123,0.8959949348870824
2,2,0.0619,20.0,0.0,0.04775447886343649,7.593936669565564,0.0
3,3,0.158,1.0,0.5,0.0719180531341471,0.5316832651674985,0.03157531434079325
4,1,0.081,1.0,0.5,0.0354175289031751,0.4710777327624377,0.3574540636043986
5,4,1.046,32.0,2.0,0.8858464259149122,30.669825838704995,0.5124248901443089
6,5,1.75,32.0,5.0,0.20323039125883705,4.522651406455221,3.9047044220584963
7,5,2.96,24.0,4.5,0.8602503585560306,14.59356320872487,2.278490867631711
8,5,4.97,24.0,2.5,4.3546043418939435,5.4254332745740514,1.2396169687445135
9,2,0.42,24.0,4.0,0.16561812069126372,2.87390700539739,0.447623417035234
10,5,4.7,30.0,2.0,2.3266243882891273,7.237960071668354,0.3027070466728281
11,2,0.9,0.0,0.0,0.23834976564882496,0.0,0.0
12,1,1.5,8.0,4.0,0.6093117379071608,4.966964126340808,0.18795867808901123
13,2,2.0,8.0,6.0,1.604132671158196,3.0470939346968082,0.4723148442575278
14,0,1.2,12.0,4.0,0.8836173095276928,9.682331822506121,2.118125865874131
15,3,1.2,20.0,6.0,0.2934361483896551,3.6776286553314597,0.3816827051152043
16,4,2.2,32.0,10.0,0.6852965629979285,30.847353442476685,2.784933939391485
17,1,7.6,24.0,8.0,4.618911599152587,4.404444852614894,5.129163106291535
