T,FC,x1,x2,x3,x4
1,1,0.0531,4.0,1.0,0.005055512203616191
2,0,0.0619,20.0,0.0,0.006326893684108176
3,1,0.158,1.0,0.5,0.1452787674781801
4,2,0.081,1.0,0.5,0.005376799124511924
5,7,1.046,32.0,2.0,0.6329835081408951
6,7,1.75,32.0,5.0,1.491749073587787
7,6,2.96,24.0,4.5,1.665536774659938
8,4,4.97,24.0,2.5,1.2891754858092863
9,5,0.42,24.0,4.0,0.07463742758657849
10,5,4.7,30.0,2.0,4.102573784747969
11,1,0.9,0.0,0.0,0.1974757084427424
12,0,1.5,8.0,4.0,0.8838387660771143
13,1,2.0,8.0,6.0,0.833228939350253
14,2,1.2,12.0,4.0,0.09295760877772676
15,2,1.2,20.0,6.0,0.24889531535495413
16,2,2.2,32.0,10.0,1.7971644148212795
17,3,7.6,24.0,8.0,4.345161966757954
