T,FC,x1,x2,x3,x4,x5
1,4,0.0531,4.0,1.0,0.04452048779825295,0.961012663443602
2,0,0.0619,20.0,0.0,0.002327334012922066,8.240975127346683
3,2,0.158,1.0,0.5,0.10358079551015682,0.31605878528993503
4,0,0.081,1.0,0.5,0.0790063693790916,0.3449680093117349
5,10,1.046,32.0,2.0,0.11045242930444858,11.22920926463419
6,4,1.75,32.0,5.0,0.10373360241365112,12.462701470412796
7,5,2.96,24.0,4.5,1.5954935866916966,3.4464506866344964
8,6,4.97,24.0,2.5,2.400280627511768,9.422434828218325
9,5,0.42,24.0,4.0,0.3933740325454448,14.387708173434127
10,6,4.7,30.0,2.0,1.0207626042692097,21.485275031379896
11,0,0.9,0.0,0.0,0.2938590309964193,0.0
12,1,1.5,8.0,4.0,0.79754383720763,3.81790614153394
13,1,2.0,8.0,6.0,1.4999561885008323,0.13038877554779305
14,0,1.2,12.0,4.0,0.8807378298869025,5.464152911677438
15,1,1.2,20.0,6.0,0.8070174693297905,15.514857130497743
16,2,2.2,32.0,10.0,1.6496032445126056,6.499858755435174
17,4,7.6,24.0,8.0,7.23987724881114,21.891296278129083
