T,FC,x1,x2,x3,x4,x5,x6
1,3,0.0531,4.0,1.0,0.0029850408053551532,1.182696532846435,0.059093537570717225
2,7,0.0619,20.0,0.0,0.02185453507962081,9.709482225885523,0.0
3,1,0.158,1.0,0.5,0.06673353316558132,0.23423754496376004,0.03489068659488492
4,0,0.081,1.0,0.5,0.0021406672855258497,0.9259970712409854,0.17509958864162345
5,7,1.046,32.0,2.0,0.7595762737078875,23.421970769926492,1.0191126920957618
6,11,1.75,32.0,5.0,0.7951639425519859,24.683048740299885,4.893482639435011
7,10,2.96,24.0,4.5,1.1472682573216062,10.252661109849074,2.8493209199947533
8,6,4.97,24.0,2.5,2.4789010186758547,9.1478089766096,2.0973345145777325
9,1,0.42,24.0,4.0,0.11308161988572345,3.940007903309554,1.3989070553091247
10,5,4.7,30.0,2.0,3.9903174906590855,12.585343146198916,0.31773077386906
11,0,0.9,0.0,0.0,0.6947190376821081,0.0,0.0
12,5,1.5,8.0,4.0,1.4605027375930235,3.4500086415857156,2.7826285834606135
13,0,2.0,8.0,6.0,1.1980176765826012,1.3474691265168515,0.3711555056199727
14,1,1.2,12.0,4.0,0.45737451009507263,4.901769180942752,2.498947716220806
15,1,1.2,20.0,6.0,0.1297749206427153,19.282853533376723,2.4993358682085223
16,2,2.2,32.0,10.0,1.3612383497661984,18.15757892541119,3.5229217744428953
17,1,7.6,24.0,8.0,4.8775025279596145,7.172600851009138,4.227370625875872
