T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,2,0.0531,4.0,1.0,0.045553506366169935,3.908452129947113,0.7056039470457183,0.027356492309143624,2.7578762328321376
2,4,0.0619,20.0,0.0,0.0007744259552310879,6.6147784359796225,0.0,0.019479010655595867,2.07440532608959
3,0,0.158,1.0,0.5,0.03936297544164612,0.210974095398068,0.31468025320007664,0.010258684404400635,0.4992148777739831
4,1,0.081,1.0,0.5,0.060373923677249086,0.574165288422013,0.26895950910054595,0.008234629119992157,0.09053479066779191
5,6,1.046,32.0,2.0,0.01681718807445316,18.802792353771807,1.7674200100601443,0.7890153061563433,20.70445837101611
6,10,1.75,32.0,5.0,1.619017826636438,20.87591237030204,0.04542890548275391,0.7735325587571619,27.51102366709003
7,5,2.96,24.0,4.5,2.257078208293549,21.405854716589065,0.4834500527854982,1.0294456802984553,6.140762108622365
8,5,4.97,24.0,2.5,2.032137736284222,0.8224689276336035,1.3841780659478087,4.178877492943293,18.109580492806007
9,3,0.42,24.0,4.0,0.2360982803616718,11.293912645846408,2.4262880350731297,0.15607826569485217,13.053271716116637
10,3,4.7,30.0,2.0,1.3561862289604645,7.880527775871997,0.7946290735134376,0.9653861338540665,26.438923619641898
11,0,0.9,0.0,0.0,0.3546710814661908,0.0,0.0,0.42884849486387033,0.0
12,1,1.5,8.0,4.0,1.051045072250453,0.03391706243919845,2.1036497077216962,1.2771588458440646,3.3159616637177205
13,1,2.0,8.0,6.0,1.1726538368125745,6.970793135838694,2.0330533753282767,1.9868557681736552,5.767907552854157
14,1,1.2,12.0,4.0,0.671254704417434,0.41531533236505513,3.6531876993864585,0.6203868884373729,5.644964356118551
15,0,1.2,20.0,6.0,0.5496553746982143,13.245342875719732,3.197763995390554,0.36131518787613187,0.20293029329325973
16,3,2.2,32.0,10.0,0.17673772199127233,17.62787024280588,7.431880283758331,2.014962060658841,9.646486938863621
17,4,7.6,24.0,8.0,6.206858990650371,22.30903686355399,6.56040897568822,1.0294460608104257,18.414329755633148
