T,FC,x1,x2,x3,x4
1,1,0.0531,4.0,1.0,0.02296675972616294
2,23,0.0619,20.0,0.0,0.004646879479782347
3,8,0.158,1.0,0.5,0.01937631459480895
4,1,0.081,1.0,0.5,0.03627928034454858
5,0,1.046,32.0,2.0,0.8563009079507651
6,0,1.75,32.0,5.0,1.6614114283810844
7,0,2.96,24.0,4.5,0.7980638011739505
8,0,4.97,24.0,2.5,0.4036301668080658
9,0,0.42,24.0,4.0,0.023558079399507506
10,0,4.7,30.0,2.0,3.2635645207558888
11,0,0.9,0.0,0.0,0.8965748073466898
12,0,1.5,8.0,4.0,1.0578775738587676
13,0,2.0,8.0,6.0,0.18053473709466283
14,0,1.2,12.0,4.0,0.4790868681118523
15,0,1.2,20.0,6.0,0.3430216070062853
16,0,2.2,32.0,10.0,0.5525191546331764
17,0,7.6,24.0,8.0,5.560860507066694
