T,FC,x1,x2,x3,x4,x5,x6,x7
1,0,0.0531,4.0,1.0,0.026612184341158692,0.7310772819582847,0.28647139649258835,0.04998984512872887
2,31,0.0619,20.0,0.0,0.03273857090606491,12.74116657524293,0.0,0.03839777660695087
3,7,0.158,1.0,0.5,0.06813355985846727,0.7750059114486866,0.0892158704081431,0.052139392486022285
4,0,0.081,1.0,0.5,0.054476782390222876,0.6898668336800821,0.3712647640885776,0.05302484463070965
5,0,1.046,32.0,2.0,0.914228080658189,31.525158850194977,0.4357011031268818,0.20860876108887338
6,0,1.75,32.0,5.0,0.568919171241861,22.66084545188547,4.515207840289251,0.3138062213245774
7,0,2.96,24.0,4.5,1.8869574076852944,18.724991149148195,0.18153737821242022,1.8342608946150032
8,0,4.97,24.0,2.5,2.551941034777224,4.252457179081388,0.941386425897851,2.5790713561765743
9,0,0.42,24.0,4.0,0.2039936157457305,8.809222584941367,3.0132294722652766,0.3679787889399489
10,0,4.7,30.0,2.0,2.6343452400732006,28.57574468579217,1.0686927450098234,1.6686845179517613
11,0,0.9,0.0,0.0,0.48962054213061007,0.0,0.0,0.6621281825182037
12,0,1.5,8.0,4.0,0.993327616835823,5.0466679210469945,0.8437873966058991,0.2824422786297552
13,0,2.0,8.0,6.0,0.8051455088064563,1.1926484774550792,5.060166776890325,1.5594589825503542
14,0,1.2,12.0,4.0,0.09967077421611296,4.751527524730074,3.3577177080081544,0.35329580589464643
15,0,1.2,20.0,6.0,0.09833611803203061,6.895955915559664,0.025082315945174072,0.24880202128899476
16,0,2.2,32.0,10.0,2.0264270584567643,0.24300915392223388,2.865837848116428,0.6297936469692942
17,0,7.6,24.0,8.0,2.8847023505261618,17.34619073387901,4.690217848576152,2.7544201369259596
