T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,1,0.0531,4.0,1.0,0.013302931297518987,0.8909528455321536,0.6595727134255295,0.03513396755052844,0.3162772942063641
2,34,0.0619,20.0,0.0,0.04711699990678838,16.32502826053616,0.0,0.015765374501516164,1.1236720483634177
3,6,0.158,1.0,0.5,0.09163457677537414,0.5531409333902533,0.47055570961832727,0.023131454359513443,0.42993739808080866
4,1,0.081,1.0,0.5,0.01938043075848136,0.9308679859210073,0.1748151200214318,0.046385547386206184,0.17537596646594322
5,0,1.046,32.0,2.0,0.3234076417250791,13.600931641122603,0.5685767010462999,0.1873980774763305,14.812725614569462
6,0,1.75,32.0,5.0,0.4479560250652429,24.689895234700344,0.9606219865121385,1.7449532943071726,3.700249929598897
7,0,2.96,24.0,4.5,2.3143609169354105,10.303425824865645,3.663047407482192,2.8458280924041968,3.5126108106451586
8,0,4.97,24.0,2.5,0.00038919603597654116,8.43488357467807,0.5864475224151058,2.6824819722440223,22.847318808553894
9,0,0.42,24.0,4.0,0.10221476113122821,7.4657634577804215,3.473143874280785,0.27405153067118826,5.26385776426657
10,0,4.7,30.0,2.0,4.617822953994294,29.480716011296238,0.4757642765262551,1.9654141876515394,5.1676762475117455
11,0,0.9,0.0,0.0,0.17750357159180377,0.0,0.0,0.40789286880005104,0.0
12,0,1.5,8.0,4.0,0.2973251801759812,1.6222714993646505,0.23848130441294169,0.7979661439743774,4.3331559567912565
13,0,2.0,8.0,6.0,1.4286093728750064,1.5780952447321193,3.3922875363783325,0.006345768854498557,0.6447200678352294
14,0,1.2,12.0,4.0,0.37796794676144546,2.495901369676001,0.6380824208774767,0.3937271622584897,0.4623463108787509
15,0,1.2,20.0,6.0,1.174087274977333,0.9390642927561155,2.256732462610004,0.20754880567996592,3.562897409558503
16,0,2.2,32.0,10.0,1.5593672519283244,13.411161100322222,3.7287774529764937,1.2152479609495843,4.10423529052688
17,0,7.6,24.0,8.0,0.27619050051121624,6.314879494065312,5.4321705087391505,3.818430940628186,15.861855189661199
