T,FC,x1,x2,x3,x4,x5
1,2,0.0531,4.0,1.0,0.046808172375557476,0.09917892032479658
2,1,0.0619,20.0,0.0,0.0134533635805106,9.90956109043944
3,4,0.158,1.0,0.5,0.15715607374336052,0.5220125708497169
4,3,0.081,1.0,0.5,0.007694184546638436,0.37572948152109187
5,5,1.046,32.0,2.0,0.9371338020751481,6.580350360310671
6,10,1.75,32.0,5.0,0.8372740947285326,9.636688166301514
7,8,2.96,24.0,4.5,2.9068366538215504,20.228031161572787
8,7,4.97,24.0,2.5,0.9780743637617733,18.042415216233465
9,3,0.42,24.0,4.0,0.10497797386589275,17.692637005489757
10,5,4.7,30.0,2.0,1.0162168926035942,7.1670098741570385
11,2,0.9,0.0,0.0,0.45859214098618306,0.0
12,1,1.5,8.0,4.0,1.2488348797840783,7.563815085903924
13,3,2.0,8.0,6.0,0.1266804372197674,1.2331389994026107
14,3,1.2,12.0,4.0,0.7438478247179359,0.3244811879519043
15,1,1.2,20.0,6.0,1.197163370665922,6.1501441094345815
16,0,2.2,32.0,10.0,2.079240541453941,8.62419441154098
17,1,7.6,24.0,8.0,7.341609668422843,20.901463220703196
