T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,0,0.0531,4.0,1.0,0.04067056393330671,2.5151364144681496,0.03658081486757314,0.03553978271613503,1.898259467082184,0.7138468842525469,0.003622912892842426
2,2,0.0619,20.0,0.0,0.015353477681651054,3.436108520627823,0.0,0.03513713338307504,1.5837713167608447,0.0,0.060762043986553486
3,1,0.158,1.0,0.5,0.07424647236172299,0.4417429303500112,0.2389930640303758,0.022658284651029315,0.30427638143850577,0.25201281818685023,0.09514199369964613
4,5,0.081,1.0,0.5,0.0358233154784732,0.5623534602984224,0.3118242501306453,0.07345282180937313,0.686687594822035,0.40207842012594597,0.0024662466038481243
5,4,1.046,32.0,2.0,0.7361608318166475,4.187222391738928,0.34442966221688964,0.8503194160221053,22.364252724898684,1.3399297027111998,0.17320555277174132
6,9,1.75,32.0,5.0,0.34349908081717995,23.30338496659572,2.2106191709309586,0.6531189409746254,9.070444783108407,1.5387094561719883,0.29525751130521494
7,8,2.96,24.0,4.5,1.9098249895742625,7.858379113230343,1.7845770034165547,2.2097682371190497,14.088806149371251,2.809614499725935,1.2669945234385043
8,7,4.97,24.0,2.5,3.130550196058646,7.428881485397539,2.145713615511045,3.433453229714639,20.839020551114757,2.2947123445154354,0.5786058865152436
9,1,0.42,24.0,4.0,0.08844792481542826,7.458569762064632,1.1785725214800085,0.3112153999985112,16.931545330548758,2.9225447384000414,0.14537799828407805
10,9,4.7,30.0,2.0,3.481682808759719,10.288027525477144,0.7559633296317463,3.17027936675095,13.100170936402126,0.7626449352620663,2.1452528792703296
11,0,0.9,0.0,0.0,0.6600388980739488,0.0,0.0,0.07729739346136309,0.0,0.0,0.15679978778938017
12,1,1.5,8.0,4.0,0.65111805784998,5.723282544621444,3.1896013500470013,0.8484191924568986,1.3644063459871578,2.4184878194432557,1.4444077608325483
13,4,2.0,8.0,6.0,0.6406569047732478,6.691346440424537,1.484399733295681,1.6056606311986528,4.121220108682054,4.987647070060442,1.119894683498995
14,0,1.2,12.0,4.0,0.25544742673045207,9.036051310338005,2.218683875734584,1.1397748429641303,6.225222711874128,0.7542597789566172,0.5899176874665287
15,2,1.2,20.0,6.0,0.7035080999111855,5.713180275353649,3.0729279840006622,0.19086760739606512,15.165982945157916,5.539536626218163,1.1353871009657255
16,3,2.2,32.0,10.0,1.7471304496829643,28.31872868269568,9.169282927074892,0.6931045492559015,9.824776566545232,4.710391216442736,1.2148974912526413
17,0,7.6,24.0,8.0,0.6868230496541365,5.913190460136641,0.0745642113504088,0.9791447841536479,22.911383304506497,3.3517221316957855,2.622727225353903
