T,FC,x1,x2,x3,x4,x5
1,1,0.0531,4.0,1.0,0.04581797480210584,3.251457828906333
2,2,0.0619,20.0,0.0,0.039593561261117786,3.0973094724342176
3,1,0.158,1.0,0.5,0.056285929152879256,0.806370344432102
4,3,0.081,1.0,0.5,0.05813978831750154,0.6603896338030848
5,10,1.046,32.0,2.0,0.1052991119387658,3.693650557504796
6,12,1.75,32.0,5.0,0.42559758139344506,8.456030661656374
7,5,2.96,24.0,4.5,2.3855122123357435,1.12267186926689
8,7,4.97,24.0,2.5,3.511036639117805,18.634745664948717
9,3,0.42,24.0,4.0,0.11551095189815049,2.628580875710658
10,6,4.7,30.0,2.0,1.4075063392369869,1.580062612368166
11,1,0.9,0.0,0.0,0.7298893162392123,0.0
12,2,1.5,8.0,4.0,0.8983526004032836,4.005385931097157
13,1,2.0,8.0,6.0,0.10849642495018763,6.778811096266381
14,0,1.2,12.0,4.0,0.8454144281101601,4.289302185613632
15,1,1.2,20.0,6.0,0.6149367479395386,5.240540764361761
16,4,2.2,32.0,10.0,1.6307823553274126,27.100308699002785
17,4,7.6,24.0,8.0,7.516665887385461,1.5828753863719918
