T,FC,x1,x2,x3,x4,x5
1,0,0.05,1.3,0.5,0.024720812021483452,0.9673138468782644
2,17,1.0,17.8,2.8,0.3147281085178537,9.924793983982308
3,5,0.19,5.0,1.0,0.06813412749866882,3.9352450647740285
4,3,0.41,1.5,0.5,0.17302949149158328,0.5235214263185308
5,3,0.32,1.5,0.5,0.0452446441339249,1.245673540852008
6,6,0.61,3.0,1.0,0.4704760703479861,1.1734468630676085
7,2,0.32,3.0,0.5,0.10637311362432986,0.3716837066688491
8,0,1.83,8.0,2.5,1.6498501430841095,0.7957280848257771
9,8,3.01,30.0,3.0,1.3223461852910616,22.15493184410157
10,0,1.79,9.0,3.0,0.4383846619834264,6.6009203867572666
11,0,3.17,25.0,6.0,0.8625036144029016,1.3242072498807018
12,0,3.4,15.0,4.0,0.536099910383219,13.541189898175233
13,0,4.2,15.0,4.0,0.9517669278434929,3.4557386991021835
14,0,1.2,2.0,1.0,1.1427726814769694,1.6394318059309172
