T,FC,x1,x2,x3,x4,x5,x6
1,0,0.05,1.3,0.5,0.027956854515785046,1.0522595726373882,0.20542852652606663
2,10,1.0,17.8,2.8,0.7040105400532084,15.843297732056664,1.049102421485535
3,2,0.19,5.0,1.0,0.00840870079344307,2.352970447928186,0.7934195520224119
4,0,0.41,1.5,0.5,0.3103744272597106,0.5234858633940305,0.34807917941371536
5,5,0.32,1.5,0.5,0.22370063790590325,0.589879299007288,0.3889486140083451
6,5,0.61,3.0,1.0,0.17664471995326436,1.8941947524995348,0.0857046479177479
7,2,0.32,3.0,0.5,0.07391110802798366,0.37713616835376507,0.2182795978221035
8,5,1.83,8.0,2.5,1.7861242219222655,1.2496385859786407,1.7042579162471003
9,5,3.01,30.0,3.0,1.9778785619608599,15.191242543020664,0.647395848542291
10,0,1.79,9.0,3.0,1.4871174524778719,3.65284060739879,2.86515908419467
11,0,3.17,25.0,6.0,0.8063396413179788,16.30440614315025,3.7128987798083624
12,0,3.4,15.0,4.0,0.7276701964909345,5.3783186084534504,0.18634909506925323
13,0,4.2,15.0,4.0,3.030214548577881,5.721516746898447,2.385692054127542
14,0,1.2,2.0,1.0,1.113548916755827,1.5566419072216162,0.4833670238460146
