T,FC,x1,x2,x3,x4,x5,x6,x7
1,0,0.05,1.3,0.5,0.03587798416829355,0.5772847513944666,0.20500757918142648,0.005566911699246896
2,11,1.0,17.8,2.8,0.05169686731319656,13.400458172782542,0.5659292508335317,0.7119896467353791
3,6,0.19,5.0,1.0,0.17965173658167852,4.664050733985149,0.07995992998715395,0.052656130516473505
4,2,0.41,1.5,0.5,0.08358466224672707,0.6263165541868339,0.27694301741566235,0.032902877274354474
5,3,0.32,1.5,0.5,0.3082216225096763,0.4886851632956154,0.02956869073513274,0.2087649406280771
6,3,0.61,3.0,1.0,0.047426266062345956,2.2636165417024294,0.42538807822188696,0.35320566571598655
7,2,0.32,3.0,0.5,0.2873255859044723,1.060505870359183,0.3768460666143653,0.27725300048115953
8,9,1.83,8.0,2.5,0.33079531816467816,3.542247179805752,1.0153817611703428,1.3202321904876722
9,8,3.01,30.0,3.0,0.28162527614668886,25.52904597144981,1.3831242853195855,2.0378075239447555
10,0,1.79,9.0,3.0,1.086020692206624,5.296265948580938,0.5377969042797739,1.767548934540498
11,1,3.17,25.0,6.0,1.976543603009025,20.087357196382534,0.7910209770854895,1.8377143539475977
12,0,3.4,15.0,4.0,2.4594138606167153,0.6739494502515236,0.033274233728427305,1.5369123182743927
13,0,4.2,15.0,4.0,2.2056231788823655,0.9056296095514865,1.075073729880962,3.4081384646637005
14,0,1.2,2.0,1.0,0.3550373474571275,0.8175569954060464,0.045280312228291986,0.8857430729087223
