T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,1,0.05,1.3,0.5,0.022967000096759855,1.0978755662336672,0.48808130086673707,0.004320807638506935,0.26032671673460805,0.03921539188307449
2,2,1.0,17.8,2.8,0.5579629470520001,17.388778514090635,0.5501403501142366,0.21976858185742965,7.192576893870116,2.2575243352231458
3,1,0.19,5.0,1.0,0.0011321234250370694,4.1925575503404655,0.5233862647303104,0.038589441493178216,1.810590071804954,0.08855141919411225
4,1,0.41,1.5,0.5,0.08572890370245123,1.2859098910837425,0.39425816544321823,0.15765383459744076,1.337545488210906,0.15698144532339164
5,1,0.32,1.5,0.5,0.11051309620898433,0.523590208999942,0.08390700177260918,0.17300825125373762,0.809896539811811,0.3344565015672454
6,3,0.61,3.0,1.0,0.1273183924753514,1.123257293315093,0.8345628032139506,0.23789860780125116,0.39056048454203385,0.3738088776674936
7,0,0.32,3.0,0.5,0.23441788646171183,0.5709390882360147,0.16024426527172858,0.06055898414506672,0.11114765201981014,0.3227529983190954
8,0,1.83,8.0,2.5,0.10174983460933444,3.149516334840948,0.8780617525669732,0.2831298054138231,4.505215937056204,1.6185414454846323
9,2,3.01,30.0,3.0,0.8866667189096106,8.40656944261657,0.972929510272567,1.8093848827921315,28.470623875455807,2.9486686994484685
10,4,1.79,9.0,3.0,1.3191471792514644,2.3771667550992106,1.7849759320786838,0.34151922435186804,8.205705686197764,1.6155662750726676
11,3,3.17,25.0,6.0,2.528524837878491,20.015281326597602,2.503966516515667,2.711340233058015,20.110559428429557,1.991756220561247
12,4,3.4,15.0,4.0,3.2621586300520833,8.260882545274537,2.225181183301935,1.9945321613376574,4.424018405360942,1.2400586300530376
13,1,4.2,15.0,4.0,2.1006353954064916,2.422997556287574,3.113032490407073,0.5508264008570981,0.4214772100019698,1.527996138671774
14,1,1.2,2.0,1.0,0.10846925797875846,0.32115267356116695,0.26047264821053784,0.39123984362872655,0.5882053665765299,0.9048534260402913
