T,FC,x1,x2,x3,x4,x5,x6,x7
1,3,0.05,1.3,0.5,0.02431511200455036,0.6971283301568226,0.06683239462672269,0.025613994315169576
2,10,1.0,17.8,2.8,0.9193664828779192,0.7717263786827493,0.6783740685745148,0.3436430519716559
3,3,0.19,5.0,1.0,0.10841247281211508,3.335472496735478,0.11743776158558605,0.0974844332767299
4,3,0.41,1.5,0.5,0.29844451741236167,0.42741923055788367,0.3078709081048711,0.043132442625442934
5,0,0.32,1.5,0.5,0.2392317766539978,1.43982792496945,0.007490305721713331,0.03473891791887162
6,2,0.61,3.0,1.0,0.38799017083378173,0.6596348588435667,0.8065413855523641,0.008406628724630672
7,0,0.32,3.0,0.5,0.27033969996030793,0.9249085184675667,0.2989892111977117,0.023398331745740537
8,9,1.83,8.0,2.5,1.596821789157778,2.078222067403691,0.844483872312646,1.187260125806737
9,10,3.01,30.0,3.0,0.9651662840849325,7.359444922485596,2.494197661697606,2.5775845766865078
10,2,1.79,9.0,3.0,0.738276852319376,4.931972787434762,1.2227476186168924,0.18746928700352808
11,6,3.17,25.0,6.0,0.1110790997990564,13.687702957248533,2.512900184362837,1.726072410431644
12,1,3.4,15.0,4.0,2.7421474171161164,7.182712682801808,2.8226732650282105,3.002258500390449
13,2,4.2,15.0,4.0,2.5698246860484906,1.821609994402607,1.2132568897448404,2.7575763608467785
14,0,1.2,2.0,1.0,0.005287665828767052,1.3393176496840449,0.02381337690472307,0.06264909394564788
