T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,5,0.05,1.3,0.5,0.009610263839387519,0.8236262221169253,0.30649470216340513,0.0011456161428072765,0.7352106273364332,0.25307450576036705
2,5,1.0,17.8,2.8,0.7826205613027342,9.998790243738373,1.9869476671540218,0.4922163528562685,11.105500206694444,2.738865629497367
3,2,0.19,5.0,1.0,0.06647470647578625,1.575323289575371,0.02366910365883934,0.04868446589073892,1.495995585127889,0.7850045397849932
4,0,0.41,1.5,0.5,0.3219419073406028,0.4334784930036429,0.15323660709310355,0.21032015991253764,1.0738208002907343,0.42001493286969654
5,2,0.32,1.5,0.5,0.31505783309964763,0.3764071876755544,0.17805175898294012,0.14827685427197312,0.5566614404454511,0.4753003695334309
6,0,0.61,3.0,1.0,0.16737548202991454,2.811993305929522,0.4497515716719175,0.42755865234640533,0.26167626273950595,0.37286646881685837
7,3,0.32,3.0,0.5,0.060330134869406714,0.6979023207101808,0.4789069613515829,0.08074881163819984,2.799476924400361,0.27089450169682067
8,4,1.83,8.0,2.5,1.5761450616904404,6.0851055558084655,2.1668676749452636,1.0397885810138225,4.930853763849502,1.384123133345456
9,10,3.01,30.0,3.0,2.4545849034107774,11.517221469917699,2.7897514146011346,0.3594480173168859,23.15985291508827,0.35211054381184315
10,1,1.79,9.0,3.0,0.6208703613553871,5.144138271959874,2.132456203827507,1.753130061123593,5.565818528547413,2.651864961853827
11,2,3.17,25.0,6.0,2.0067902017226755,16.33462790420865,1.0813847810170056,0.0318092569304317,11.007938178687054,1.0917988328147519
12,0,3.4,15.0,4.0,2.0114257194205964,8.100507732891145,0.7903460726616265,1.1871968182422863,12.925866334533008,1.1854084586203921
13,0,4.2,15.0,4.0,1.6877464647797806,8.94830350912155,0.48305877606790837,3.86732957142212,8.173813651893605,0.9526363424581565
14,0,1.2,2.0,1.0,0.3104853952166011,1.4168158265667445,0.6394973505611271,0.8331296475316669,0.042083794529585994,0.38097516288394784
