T,FC,x1,x2,x3,x4,x5
1,3,0.05,1.3,0.5,0.022313393280952384,0.25751192379672133
2,38,1.0,17.8,2.8,0.744217741245981,8.753483836895077
3,3,0.19,5.0,1.0,0.007669826555323123,2.0130046754091326
4,0,0.41,1.5,0.5,0.05176597523075844,1.3587775290723754
5,0,0.32,1.5,0.5,0.05834823362360371,1.464916482033592
6,0,0.61,3.0,1.0,0.18648799896985252,1.3715513337183354
7,0,0.32,3.0,0.5,0.15667316278603952,0.20532165764209442
8,0,1.83,8.0,2.5,0.20405001446633367,7.506015749172438
9,0,3.01,30.0,3.0,2.176451161619458,25.212750997236675
10,0,1.79,9.0,3.0,0.5229142283655275,3.7426863117758526
11,0,3.17,25.0,6.0,3.163872351663856,21.112970523306558
12,0,3.4,15.0,4.0,2.0398926949632776,4.317859313243706
13,0,4.2,15.0,4.0,0.9147561640728189,4.252987603408556
14,0,1.2,2.0,1.0,0.0071746000439387725,1.1059617713623102
