T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,0.05,1.3,0.5,0.018722465100011344,0.5963359192637019,0.0036098440078990435,0.010624297236418074,0.055537563811506464,0.32013152820286644,0.015378652340645471
2,10,1.0,17.8,2.8,0.8717250414465493,7.08182409455675,0.8075673866268664,0.02863117586914854,16.919067766087704,1.7336511827840624,0.32173758409759345
3,3,0.19,5.0,1.0,0.11860388259737775,3.3540451233270803,0.15965379142592817,0.10588656112922387,2.09594902639588,0.4120852279319246,0.13829433196867918
4,4,0.41,1.5,0.5,0.3751675706038928,0.8572375543376085,0.2720868742868093,0.33731332125973174,0.7472004006528562,0.29519480683309207,0.14708341591134186
5,2,0.32,1.5,0.5,0.2697102905592138,0.6433263715776977,0.37927624020211503,0.27044945161798806,1.300131296299624,0.32638978040934546,0.2087429501512997
6,4,0.61,3.0,1.0,0.07391086155155036,1.7262326211617127,0.6235577129797716,0.5362044795194839,2.009119196924599,0.21061226520471532,0.4733175174721524
7,4,0.32,3.0,0.5,0.023968364457383446,2.011092914938501,0.4986651320689965,0.20034980322039406,1.4033528953301464,0.1306709201800072,0.0055181140375661995
8,0,1.83,8.0,2.5,0.23232826535808568,5.408128026238878,1.8862757163287696,1.2506525405286042,2.7650786063708654,1.7436808076121737,0.45209333679485625
9,9,3.01,30.0,3.0,1.764497089105311,29.981962306159637,1.1955069674103203,1.3120141903279396,9.102994560757423,0.7276683446893747,1.628224183825785
10,2,1.79,9.0,3.0,0.3109020917464502,8.36298761920097,1.68492609443228,1.0767070670635335,7.389840617559137,1.8832555196064162,1.1106401845727418
11,6,3.17,25.0,6.0,0.2907716333742309,16.367602793286032,2.9715954082161105,2.821409035356707,16.504143376406663,5.3976084501140695,1.9291500566412754
12,1,3.4,15.0,4.0,1.7623799165379275,9.95255447093395,3.974787382620292,1.3493101878717288,2.409592682510449,1.7171234192523057,0.09347285251215413
13,0,4.2,15.0,4.0,0.9355685639139115,7.635204869663873,2.2403758086500387,0.04394496680099511,11.292489160469778,3.621111191457074,0.9037522344169622
14,0,1.2,2.0,1.0,0.2839179774331203,0.682727839627006,0.2606684011587137,0.7145089991733853,0.3176439767221222,0.08042778971915421,0.39344232504081145
