T,FC,x1,x2,x3,x4
1,2,0.05,1.3,0.5,0.04661415735984562
2,8,1.0,17.8,2.8,0.004922627593189732
3,1,0.19,5.0,1.0,0.10501240419696087
4,1,0.41,1.5,0.5,0.11838571231614323
5,3,0.32,1.5,0.5,0.25481780344323446
6,1,0.61,3.0,1.0,0.5881003822733083
7,1,0.32,3.0,0.5,0.1733097087232544
8,4,1.83,8.0,2.5,0.1512745566471572
9,6,3.01,30.0,3.0,0.6752447640795014
10,1,1.79,9.0,3.0,0.16524364478152048
11,4,3.17,25.0,6.0,2.270364888377808
12,1,3.4,15.0,4.0,2.690812993243619
13,0,4.2,15.0,4.0,2.4514367394067014
14,0,1.2,2.0,1.0,0.5955685542565418
