T,FC,x1,x2,x3,x4,x5,x6
1,1,0.05,1.3,0.5,0.04004402889387063,0.7416045391096473,0.1527852358603587
2,7,1.0,17.8,2.8,0.6167059683236469,4.706074724652354,1.7070697189805284
3,1,0.19,5.0,1.0,0.06448120611762256,3.0722652994484627,0.08740615078881886
4,4,0.41,1.5,0.5,0.05105096488869587,0.13012294110551675,0.04219162903005219
5,1,0.32,1.5,0.5,0.2846066298352071,1.4623913659252732,0.13442394183267137
6,2,0.61,3.0,1.0,0.48285168423122443,2.9940183212189915,0.6775673813713011
7,4,0.32,3.0,0.5,0.2729679970421637,1.7373872887676103,0.18749142604792463
8,5,1.83,8.0,2.5,1.498422465453248,1.2164433775065149,1.7419813147378336
9,8,3.01,30.0,3.0,2.351536123240586,1.104436999434757,2.9868790594758186
10,0,1.79,9.0,3.0,0.2317178136254913,5.686824696416592,1.2535772342541982
11,1,3.17,25.0,6.0,0.04408779919200775,6.046323467492409,5.54601833588463
12,0,3.4,15.0,4.0,3.0700350068479754,14.70596721316423,0.41492459442134244
13,0,4.2,15.0,4.0,2.630045491874266,2.4230695939479374,3.900985324840763
14,0,1.2,2.0,1.0,0.6061959194490334,1.783077532956088,0.3714783553414476
