T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,0.05,1.3,0.5,0.0358906588679458,1.0884528109904206,0.139471339597173,0.03763558003836339
2,12,1.0,17.8,2.8,0.8945068321943107,12.692909746305487,1.817508588849001,0.8884198060767645
3,3,0.19,5.0,1.0,0.0017170505974626416,2.7139201153658137,0.3786854096032656,0.16636206301926654
4,1,0.41,1.5,0.5,0.3283147925479484,0.24164819398459114,0.2676246588541853,0.32836672757570823
5,2,0.32,1.5,0.5,0.2916384504280524,1.4890127277026621,0.13072781488404722,0.2817119496003011
6,1,0.61,3.0,1.0,0.31046434288588787,0.3129718642532331,0.2873633636666495,0.1730710808915719
7,3,0.32,3.0,0.5,0.15062093920018904,2.2528615984289533,0.1631838944829117,0.2046502342775448
8,3,1.83,8.0,2.5,0.913495931407684,5.9033997129177225,1.1853617653205215,0.7679551017896847
9,8,3.01,30.0,3.0,1.6926059826767619,17.773816562129994,1.2380869031149766,1.8505170785227976
10,0,1.79,9.0,3.0,0.045137144647033646,3.372059028641779,2.478797075151677,0.8205115227816396
11,2,3.17,25.0,6.0,3.1060495564452295,21.24661090244011,0.5782441251194392,2.759591071825228
12,0,3.4,15.0,4.0,1.9867707368521208,1.860332251930863,1.5395304933968292,2.95346861797086
13,0,4.2,15.0,4.0,0.10925423035584246,7.277203712867534,2.2660366681025357,0.3734648363554972
14,0,1.2,2.0,1.0,0.7960688614027462,1.364732323073716,0.1128397880260833,0.42016968018514406
