T,FC,x1,x2,x3,x4
1,1,0.05,1.3,0.5,0.021290534788191425
2,10,1.0,17.8,2.8,0.751207095109862
3,5,0.19,5.0,1.0,0.08275007649715072
4,1,0.41,1.5,0.5,0.37645720799837185
5,0,0.32,1.5,0.5,0.06585139128976614
6,3,0.61,3.0,1.0,0.15049328121680927
7,3,0.32,3.0,0.5,0.2816027968065442
8,1,1.83,8.0,2.5,0.833680393907213
9,9,3.01,30.0,3.0,2.557164611755956
10,3,1.79,9.0,3.0,0.954239153217741
11,5,3.17,25.0,6.0,3.0739727615607957
12,1,3.4,15.0,4.0,0.6758233875388459
13,2,4.2,15.0,4.0,0.6715123448690967
14,0,1.2,2.0,1.0,0.9682269024067204
