T,FC,x1,x2,x3,x4,x5,x6,x7
1,4,0.05,1.3,0.5,0.049576347099906666,0.6198959558963969,0.48995815785632335,0.025429730010604962
2,5,1.0,17.8,2.8,0.8601344695683595,2.041420656578773,2.1757743402746916,0.7903243566879431
3,0,0.19,5.0,1.0,0.1452973071852702,0.37411456840300283,0.6345400091926421,0.08724199369957267
4,2,0.41,1.5,0.5,0.2840027898217097,1.3237165921979577,0.18439629033923466,0.04963524971146816
5,1,0.32,1.5,0.5,0.2128858415843565,0.7373593996274228,0.019214894243180736,0.29890043308005015
6,1,0.61,3.0,1.0,0.015510841695381423,2.552780307354654,0.5907403319976499,0.469492820981331
7,0,0.32,3.0,0.5,0.19594818257364752,1.4465902214287292,0.4329831632108297,0.2981151021683333
8,6,1.83,8.0,2.5,0.3713567231270737,5.253724340724559,2.1484353433387584,0.35757145907126275
9,7,3.01,30.0,3.0,2.087838054116764,2.0182881934988064,2.5664886098842863,1.7305942882898384
10,1,1.79,9.0,3.0,0.04551649187586269,8.091665286522863,0.8966027264044064,1.7236327309165664
11,4,3.17,25.0,6.0,0.6308619874389932,18.05868228113095,0.12000459248067252,2.9296869129602277
12,1,3.4,15.0,4.0,0.7435046436082231,8.246156220325714,3.1539540096625136,1.3085747325269785
13,1,4.2,15.0,4.0,3.287317741213626,13.896274944967159,1.255793742692298,2.379339193212064
14,0,1.2,2.0,1.0,0.0962197102307087,1.5136103415836053,0.1775808741509033,0.7183393030553871
