T,FC,x1,x2
1,1,6.107653212384471,2.642550854536343
2,2,7.372615318393176,6.180646359043235
3,3,8.46703250649326,4.539884659983411
4,0,5.497674457526556,6.036613890564646
5,1,5.394658287027609,6.125481323645741
6,1,7.5129265170397845,5.60118186780814
7,0,7.4233559976677075,3.4385405520252297
8,2,2.6306368569768566,7.309480707887678
9,4,2.514718265518023,7.750858763452216
10,2,7.428751169725455,4.152488263507016
11,1,4.2675030735323,5.675177391671959
12,6,3.7464103555660406,3.8221635859459426
13,2,6.12199270588172,2.658465226093039
14,0,8.817237993651212,7.604798980251744
15,2,6.168590585246395,5.056743724548484
16,1,3.338396528896119,2.8639278358613725
17,2,6.524962528777934,7.020678996894726
18,5,3.349260850538351,8.383179269010977
19,0,5.94988547785082,2.9185393110299067
20,7,7.46133853354366,8.676563635445618
