T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,7,7.735320946638577,9.213752015836036,6.942433822770108,4.679821466739093,10.909807652245544,5.561675416896916,5.03249595927284,9.188742089818863
2,117,4.440684029251388,2.868751219927014,3.115787185814537,7.180717646165705,7.515267736841885,5.052567492831272,6.277081823186694,2.425305031086012
3,15,7.138664175193487,5.142766910585132,4.958439113289938,3.2811573923683226,3.907276095179972,7.482961611952372,7.5237437264798,5.805037268383316
4,0,2.1527881920995493,6.382980950840866,6.8023508290642525,7.609873605804284,7.109841732807537,4.009240825591796,3.1633472363770903,3.210120041579766
5,0,10.176789331383649,4.203575372382662,4.006062005767653,7.84743065078556,5.311597244426323,3.7615790136296923,3.465624279849328,5.938458785100146
6,0,7.280968939085434,5.43782774636252,7.641090790304646,7.182478961896247,8.55739346299117,2.0088750678017813,7.377419821886162,5.791533312200076
7,0,5.036622507278462,5.4725361036321525,6.647994667762835,5.988512127799379,6.486666382686217,5.955931460693149,7.130901892084658,3.6524339420923475
8,0,4.158474659966241,3.877593100331252,7.1526327864446815,5.517513807698346,3.2857168036082336,4.08065566458145,6.438830872454624,4.088297689558837
9,0,5.357370721165832,3.8209692361605967,4.965218257426292,2.399282897816834,3.334445631050538,5.348132465352846,5.036628284716876,8.202033332048929
10,0,7.279200635596316,6.443355824604492,6.041076747431817,8.298579363118035,8.866804230152438,2.109895914967189,2.3583145973453497,6.899403858542287
11,0,3.7457605732363493,7.596744034996833,5.002007711566143,7.431426697305839,2.8365413704938915,4.810231733987187,4.788801058512845,6.7301101215839125
12,0,3.422518233378131,5.551042349636813,4.280986354450996,9.86349165397494,5.290273979772335,5.379683412606405,4.776144583218138,6.469929135692026
13,0,7.870036029096537,3.2689262592999797,8.341502497204443,5.391697212212491,3.389945028959684,7.377802677779728,5.226197788791566,8.011056231777607
14,0,6.461314654423873,6.044386313028377,8.28989306749759,4.063887192095152,6.032017045814739,4.0706771541417215,3.041876326808869,2.919027757209478
15,0,3.1450110111418823,4.526451317267796,2.2891951612071137,5.0138424511280695,7.260335718537441,2.191005194574787,6.677523616429632,5.528085403138594
16,0,5.357913947226025,7.260807052043578,4.669638539527202,3.3540230299750537,8.170195998336709,2.0990251338844796,6.096489576531365,4.896052428798274
17,0,6.604883002426322,2.1094059102499645,5.859719469458666,9.23908161729855,2.268236491183415,8.200366414604858,3.553917377046523,5.633395847665076
18,0,6.185881886404751,3.7079041789630667,8.61327132420434,5.725622026938964,6.205389270531734,2.4632463564656506,8.465981071188363,4.035816162508668
19,0,4.915487596038766,3.0863475581304582,10.142177450095092,5.041487949523004,8.284702379320718,3.0727482267809196,10.909071758502986,2.579462942400165
20,0,6.373526014709442,8.156926488965066,4.7374520183401705,3.7192788082720525,6.678321358311843,7.751092569839258,2.3429346508163365,7.326793346296773
