T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,3,6.756402482223159,4.439374746420386,2.5550273596365525,7.0051722607046445,6.069977262215684,4.243439482002221,7.5887465200742765,4.152238427710533,5.604534331202184
2,4,10.473779900164983,7.467626722779922,9.315514242492585,2.87911293977185,5.199643263551046,8.221366286588024,2.7870576183587112,5.0571382583765745,9.397237681709672
3,1,7.488439130023213,6.197171381159178,4.033576367404313,5.299194653076907,3.2753269430750995,3.02776536818404,5.012572032868612,2.83169004668042,5.143906621233819
4,3,8.601503066998184,4.470884732136758,8.142015199560317,8.069385998698289,11.486124604735185,2.152919960449207,9.840523571464717,6.048758394343992,5.771159613102944
5,3,7.913175733937258,2.053310836798997,2.2551152481344277,7.98882738224553,2.012577827712283,10.51622745593611,5.362054786998883,6.8195522065501955,3.0218788912307404
6,1,2.8480042474299165,6.771053878137174,4.486392556591822,5.131410521585871,4.438938968689416,6.146744265594441,3.5820417295192915,2.1141791305879503,5.058172495144986
7,3,4.036631880244739,6.66619297133721,7.940608454337097,6.469034677521441,8.051446825054178,2.191928909643384,3.557706714805325,7.708981041732814,3.4843573412197135
8,1,5.2650967302349025,7.426058274467807,2.0705891040091253,7.904625981773052,2.5415843411645023,5.474133329624103,2.7334459685707637,3.1570557673729387,6.587686035071281
9,0,5.10340589956032,5.301595682954882,2.413170179993247,6.924681643013141,4.177973703613182,4.193243093815213,7.235421920111316,8.67917752786023,3.1229934789763094
10,2,6.448307901268359,7.6547932890186114,2.072194716933509,5.313428931623067,7.688946696123858,8.56663802616732,7.490747166812896,3.4795736512449875,4.044969837364402
11,3,2.416004139099835,2.1099511050624202,9.244790403090267,7.262601985269032,7.394658085156282,5.569884936425337,4.009030827212002,3.769898912923874,2.4240037614105017
12,3,7.753348805450758,6.797205602534087,8.106635138026927,6.059620625423196,8.301150681127355,4.0057500902112775,3.638248090206801,6.939857185524358,5.8278493671125515
13,2,8.675419404702406,2.2733740040953614,3.3569343078787934,3.041208030712678,4.854391333784176,4.307537473090162,7.068134692252351,6.4161214123439265,4.404807908237102
14,4,3.0703814503048874,8.589365067933933,2.045907256051302,5.531606152979361,5.871397333408656,2.497732510050662,6.229635813084254,4.582578298008242,5.223467907964985
15,5,4.2714292650247865,7.994407086503113,6.354056512173969,3.885063316323861,6.33967666079623,4.534461470241636,3.4356271711295503,2.545416022203889,2.091363238100645
16,1,6.434230338763497,4.768419791708973,3.1747917958727534,3.6084514898823215,3.394611260690901,7.135551719003168,2.8909344484323545,4.723648943550012,9.165900846024403
17,3,4.679063808223786,6.9634078226542515,4.0606205462222755,3.3401779097494106,6.344284462274605,5.228143532353251,4.663121228724879,3.344627769781977,6.634603042008694
18,1,5.855014229899745,4.583857551135328,3.5946826600606823,6.1973634127569985,5.2513879288218455,6.145137511961224,7.383845887541063,3.0929265612421117,9.40329352689325
19,1,4.425618391613694,6.724752976301733,8.992725644416591,6.519202303949954,6.079046413587843,4.172350261143946,7.692538787180818,2.606539843102028,6.247451314786126
20,1,6.172185909997806,5.033791180235363,3.8489756530944694,8.568788403635317,7.229443684239682,3.68096876985316,6.122201359039806,3.3389056642939847,10.245343389509433
