T,FC,x1,x2,x3
1,2,5.3859864309591785,8.06683012952336,7.025512566229958
2,2,7.003296441357236,8.975410140345634,5.583554122914619
3,0,2.898910169098584,3.232733324194558,5.115699210915443
4,3,3.5991486523786405,10.027921412840673,2.230374006257238
5,1,5.984387366120434,8.617936048315588,5.0987318195533184
6,1,6.821847181699839,6.632175879463544,4.0691636877407085
7,2,7.283710547223816,5.626766007999354,2.1874141488647236
8,3,7.18366836150769,3.4020567801961543,3.192169907910638
9,3,4.402155880803628,6.996138250317724,5.327257657115456
10,3,7.272553261805081,6.248677253392673,4.432511958153267
11,1,3.9823053789931997,2.62634239690547,3.210495891648845
12,1,2.101822862282123,3.2891551246610633,6.492082300797969
13,0,3.49798597006684,6.345709817981413,2.5720457881864984
14,0,3.8420016744050103,9.400307687878412,7.260628741122818
15,0,4.087319617086995,4.845871579423716,6.1876383236478585
16,1,2.818889222487792,6.097839361037742,4.427346630522248
17,1,3.1950511855795796,4.011994270746449,6.87753783291889
18,4,5.2238454726653245,2.9825026479315735,5.942739802727221
19,1,6.081741131853711,6.268106788158741,7.720212460555774
20,3,3.078957505510146,2.2180524690056167,5.593516584084185
