T,FC,x1,x2
1,0,3.4330123088106212,7.219647099133501
2,3,7.598661785186229,7.461505536460301
3,5,3.8334352906573725,7.430720702062056
4,7,4.535660278696721,3.280321449371915
5,1,4.551761471454503,5.17161937492227
6,7,7.869427769243297,6.501294245753266
7,2,5.198387106220052,7.9473464532797236
8,8,8.1203100902634,7.5567379412300255
9,2,6.271158578269682,10.811291898649387
10,4,5.76220291835323,7.1821962650001545
11,3,2.71610408769805,5.052115491039965
12,4,6.435865649126878,8.634395541425318
13,1,5.931033340092768,5.155289447403223
14,2,5.222321434176691,9.361078197957202
15,1,3.1533841357524377,2.766245463148783
16,2,2.537690942635823,7.234525970129489
17,3,4.460617069875627,2.400582354194092
18,3,6.71944027044859,7.816736715209466
19,2,7.56467958256368,6.570692191429565
20,1,6.82638260159868,3.6756947516231624
