T,FC,x1,x2,x3,x4,x5
1,2,4.217515618336236,5.126319154190922,6.874188820340561,7.367300175874854,3.7005576352695195
2,3,2.16104276601661,2.2576533115602544,5.217642637849205,5.389971541849996,7.506824901692468
3,3,4.296568386695367,5.250884823720867,2.2899873920662883,6.081239313267793,2.6158537551290753
4,6,7.0135031660412155,7.877343724638672,2.4153528413875662,4.213990862507514,2.0930056725153663
5,5,3.1550992633474753,2.0733130033785514,5.619778082693764,6.5058940836348516,4.192212876037564
6,12,3.9172438894784225,3.119977985455637,4.715965098966724,7.205100229689798,3.895608042864484
7,13,5.8153071686439555,3.5810704720812314,4.073334670111536,5.2829402482678685,7.737458168870891
8,12,5.464883736906426,8.44028965945002,3.113781798569354,6.916425043674622,4.101206845131489
9,8,7.124623368831178,7.86982086292688,3.45227383918811,8.778782803952987,3.2832223904795086
10,3,3.2940133954300297,3.1327688026269773,4.037161393951639,6.233089330748137,5.8512748800872005
11,5,3.7347352069672173,6.050068868399721,2.1862407815617053,4.691970382610063,7.068906520516845
12,6,7.681965241705485,6.355802861067608,4.1688892046735315,4.342538165518347,6.501814709927137
13,3,8.459778357627803,7.775334540363484,5.016609898548913,8.371766955938835,5.746654579163032
14,2,5.445380300662022,7.096371004699737,5.288936688122226,2.1806273977083572,8.180329527683547
15,2,6.20564275700938,6.392994069329691,2.6640647064645977,3.0574636838771543,4.263933783675865
16,3,5.0020034394013075,6.970188916040047,7.131546991987793,9.576848783034471,6.428906657537166
17,2,4.476553686679349,6.594827064099221,4.095073291052191,2.2354528363071484,2.0943909484154797
18,1,2.331601631373652,3.5330371217525127,7.372837943690141,5.0072381398104095,2.2375198658320476
19,0,5.445102264475995,7.087311901577708,5.427868432769829,8.649366355834513,4.859812009112248
20,0,5.0178560787695385,5.342148290474655,4.023942582808662,2.40743431863629,5.03634175669164
