T,FC,x1,x2,x3,x4,x5,x6
1,1,2.535615890108374,7.134972087908949,6.439872192883558,7.283946132184769,4.361568672863967,9.07303551677196
2,2,10.188978590827471,4.2971685546795815,8.628298228239622,5.285888451990807,7.485979583364692,3.2639433468578876
3,1,6.243963952709556,7.891796668292095,4.715349724248885,2.031943116976527,5.382785723824472,4.897736786756245
4,5,6.054896260332059,7.75745931945064,9.446091934928802,5.96869367219788,3.601837185930318,3.2722888755698483
5,4,5.8622581974031895,3.4721606282664306,5.00854974622956,6.451815990119613,5.041725115497471,9.066781938586708
6,5,4.056293627299882,7.759242143439372,8.106660831983595,5.298606963751714,4.021330289450291,2.0340132236605846
7,6,7.40647099310651,8.006096244091955,4.033323590757824,5.085924051986988,6.1087743905174365,3.4112033064415743
8,10,4.553277764100989,6.653510536414392,7.97413020851039,3.305700484879005,2.3083384651394803,7.028553424825232
9,7,8.036488802003309,7.618704545440027,6.77684477077827,6.004645525944777,3.2582226207926075,6.100668364055002
10,8,4.0645866332834375,4.267264353370174,5.012699583628782,5.049847821981732,5.5450155444437,3.521378711922782
11,4,7.413150203220457,5.956467562341437,7.275935939311083,3.0131518758523383,6.052797584289298,3.24981169245943
12,7,7.32927149208888,2.221694012096669,3.219425544213106,8.028004245766564,6.071187011311885,4.8811171550510055
13,6,7.285040297846303,3.3930243966982117,7.300699879652413,7.433421092142001,8.602004940005756,6.884203732697573
14,6,2.931674724947567,8.320051926157975,4.017606746577692,5.120873059760787,8.164364485930292,3.50652411467366
15,4,6.159109029919135,4.865164956599039,6.03482829778097,8.012419963155896,3.292606639427245,4.014250176977304
16,1,5.273922582426259,2.421430379189002,2.948132044012447,7.763368599382039,6.153551306268064,4.102511715047329
17,4,3.5991150712211946,4.281927875178863,2.7310014302588437,8.44990090834225,7.1580019820214105,5.568961934485354
18,3,3.1541953002239254,6.23323542149015,3.0545581747997312,4.211885029281413,4.55084407699613,3.512696482435181
19,1,5.903086545305065,5.256770773653494,5.074079000398959,4.047386123053235,8.09866305019509,2.228195757029348
20,2,6.323270363360859,5.046095353092412,6.04457825504647,4.070575961371562,6.071548003132693,5.890797754032243
