T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,1,2.582505020671828,3.5031390701080243,5.869493796002313,5.703152285668407,4.131002853948521,7.882750063348529,3.054300413598186,7.283485394908162
2,2,5.767828878757087,4.442564330397256,5.0322160811748775,8.526375532905234,5.386269328331946,4.432001888783797,4.806831225216202,5.1172540125917045
3,6,5.767405542562025,8.364930056796041,7.543805673569896,8.309653149503221,5.8386282920257235,4.161545858349679,7.458901137856486,4.2192407825185345
4,7,3.0623314613894057,7.0085838919513925,7.791242112149192,6.548224096803681,6.214674140885075,5.55198316464168,8.612094035808486,5.337023193347169
5,7,6.058596337918173,6.256527961598773,3.7326020366390793,3.2537074229088336,7.702215047984964,6.064094237098569,5.525000966958813,2.222329797102549
6,19,8.269821006104618,7.784916485089877,6.1827122869163835,3.136115610329708,6.6261166981501916,8.176370495400938,2.41803178419554,8.535762199237528
7,9,6.843922458919825,7.905933003743662,3.0918293881751557,7.714858183727471,2.0220760948887992,7.211054377444064,3.9646210175193333,6.054532443950579
8,11,2.594994923217233,9.24787132418508,4.101586238510995,9.559854753928592,6.037193644568709,2.456583914023524,3.917157485464475,4.523175752874421
9,8,8.621252175390207,3.363575891132774,4.200959302473791,5.191807141731355,2.81491797722759,6.746153118618885,5.811280288212815,5.072164203896437
10,5,5.442340927053974,7.265880388929804,4.252996028938118,6.1198841151394685,7.401691503608182,4.056806962358939,2.3705107540058727,5.202572696625544
11,4,8.178883167229717,5.089468983893895,6.609512150099041,4.225433102255759,3.2796808029758626,7.105783874723956,5.378313311974825,5.3506591931565035
12,5,4.401091488193542,5.570278352323103,2.5715495242910857,3.816060269164312,7.241807224818931,8.109505700488864,6.54096393361898,5.3018336791754495
13,3,6.22034526462706,7.0994715368718975,6.153978122158941,8.320152868213759,3.205342992968213,4.604554345053318,8.309552292896417,8.046383850622673
14,1,6.549488252443978,2.4314530735549744,9.10038149061572,3.048500855157433,5.387142726275307,3.349150718303627,8.42094618114098,6.591858438754448
15,2,2.002282117585318,3.3397151550188404,7.790954098233763,7.168149058483383,5.713126279490261,6.576012827253549,4.310142013866848,4.031369289209204
16,0,2.226992995361152,4.124474164262098,8.258316232454277,7.066114244453987,2.5424205535839217,5.464727172927844,7.146806089281765,7.970679548326156
17,0,7.953955349591532,4.859498993935212,3.2636688192555714,6.326384159045956,5.878646219685955,7.958778143242441,7.491279750030478,3.607403133446161
18,0,7.198370558247218,7.916229466953856,5.417032105447064,5.4644706989749325,6.15280329448154,2.0837411477020518,3.1167911707355547,7.453650676090736
19,1,4.349958696334964,8.876137135421137,4.786809863323292,4.846728456167795,6.615674761504665,8.250848592926053,6.489918374521725,8.775041868423683
20,0,4.088165970625326,5.382473250266877,5.307649814637331,4.155009658688101,7.31537672053091,9.876538800079224,7.66528674375129,2.2263034741518974
