T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,2,2.546678635618361,5.113570785349356,5.359725171002116,5.846316442921768,2.579103717029557,2.3524812348286654,5.75468015314228,6.948974380163184,5.436006461605254
2,6,5.869592183619409,7.534477986621867,3.5682196862376596,7.4420686809059395,4.672424666550843,5.670967192318351,3.5405105354795015,7.1122048022476285,9.611140375184918
3,7,5.3584390534360455,7.197540471334944,7.869080473255439,9.61634863884304,8.391705806338988,4.82980222152432,5.700926120685555,7.119287278487415,5.123538495651811
4,4,10.192999251818845,2.2701268287204037,5.096897382013875,4.829264561362332,5.819471827405828,2.218046295519053,5.5419516108792894,7.289253454220531,3.725717070660457
5,15,8.29131680944782,7.774885698069961,7.249846326336847,2.6527759300486307,5.130773949059591,2.4166392765422398,5.029576358072227,7.328350819749756,3.809295439186208
6,9,6.41871860367907,5.573659117405847,5.26499114372609,6.5560203525078045,2.3803660790786343,7.486220606262759,3.8859617559275015,5.050141496749606,6.980631144793794
7,8,3.7242015187865443,10.30979415897377,3.322314949558948,3.8202924637813496,6.20963124594878,4.487405848680616,5.435407192003799,2.92461548916482,4.478685283459484
8,7,4.572125592500409,6.211587628263652,4.306362381618386,3.5113358729729156,4.228965525333092,4.012359769570859,3.096450877386521,5.318500961236261,6.315238084713149
9,6,6.417905135084619,3.1554278797002735,5.037154795864077,5.018391481262735,8.488273168928355,7.81400607744945,3.349162817517691,3.493852363771498,7.054663984936077
10,3,7.055519144515824,6.164581088849067,4.8429859598330545,4.651823965996773,4.121752701309576,2.0438558282979,5.585856120785513,4.073419006282464,7.621635960210111
11,6,8.517564935673041,5.048914854816122,7.954943816469574,5.533320362164491,3.00785546734088,2.1642048650634553,3.2007170543436594,4.484608432174284,5.38128945026695
12,2,6.513203002317606,5.489848734376826,6.507518977554398,4.350168437954568,7.996368091942656,2.244400282474794,7.040840185062265,5.029437026356427,2.7570349318691774
13,3,6.912194788471824,2.2831697066574304,7.376475849459631,4.645855509598905,2.2163535107438705,2.036036532728745,4.20415479789186,3.1291727478490614,4.245958929706283
14,5,6.146220349894809,3.501099464517121,8.111668834181582,4.639668180660747,3.1381957076282414,7.902245262910821,3.158104008431141,6.38848029351801,7.076261304376071
15,2,7.055059405649191,4.5703447104669515,4.543781618729854,5.638154130094974,6.683741981918983,4.024775582216883,2.7701292265417177,7.253171691979797,6.380822260961813
16,0,3.160862656028064,6.073058621682188,4.319584410794114,5.579193288097031,7.1695996479405775,2.2410342594724293,3.108956641221191,7.427965605717473,7.366256251230241
17,3,4.017404792646394,6.419396934459389,4.197993744818406,7.231865047742439,7.436759943751761,6.264842029035734,8.039605625124343,7.376227891068215,7.528528802841022
18,2,4.685933745863041,4.150821294682771,2.955421117344292,5.93785391241036,7.891392179502429,4.488455796887293,5.104855340091667,4.57386691769775,3.012658664862442
19,1,2.1575525810067986,7.042263178641113,3.010055143326781,6.382260133262511,5.8399745232567355,7.7246531166805426,5.7370328010531875,5.262755497774877,2.4156081584263998
20,0,2.1247031985750207,3.483831291298113,8.681546711157319,3.0068516204342037,6.045199177343973,8.294817583795425,2.013815023407539,7.3543320823342,4.666606394704694
