T,FC,x1,x2
1,2,8.126893959437531,7.665376417399448
2,0,5.255715604394803,7.246956683087518
3,0,7.364557596086515,7.3634869884759935
4,2,7.966528655364272,8.581567794305604
5,1,6.302466824579016,4.738449095945097
6,0,6.293579495792787,9.047035018859818
7,0,6.02581431720891,9.334222656055278
8,1,6.17205746369965,6.093828240863657
9,1,8.379185793524034,4.063717325857501
10,1,3.094485518401255,2.120178199978325
11,1,3.3034954047838436,5.004803904537549
12,1,5.90830625086937,6.484566522945595
13,1,2.1664240363163993,6.244438367911526
14,0,7.265111792799013,5.641961030075692
15,1,7.255655029454869,7.331886104594653
16,1,7.508865593489997,5.522163044823459
17,1,3.738148304725229,4.463474069521944
18,1,3.163144398947138,2.019510506402574
19,0,5.691922412650889,4.722485420522823
20,1,3.1155367953865802,8.00101207808898
