T,FC,x1,x2,x3
1,0,6.868301202788235,7.865188901419071,5.844835685235465
2,1,7.040954268536619,4.610105003737124,3.2872617657014276
3,0,4.656413713212818,5.238836366741916,5.480116530567334
4,0,4.5660736807539735,5.9877344496113505,3.46842116720453
5,2,9.234346701850548,2.558376866451769,8.136025999565023
6,1,3.2766311481670476,7.376323513629197,7.179405102629944
7,0,7.826073523574637,3.769829345987368,4.643016354706176
8,1,5.0601751586657135,8.029283400293803,2.5582222522254954
9,3,5.642471923506832,8.591351909920341,5.653682893760105
10,0,2.1163410999194556,3.6640433056087423,5.140973375760762
11,0,6.691726168127225,7.205652344691731,8.779956193274032
12,1,7.092372479362428,7.295724708486659,4.243346178288943
13,1,5.1539095920214795,8.101635617417179,6.04459719191949
14,0,5.574380011294269,6.385081582030082,3.1199347092134526
15,1,7.739249814689212,5.484755517320529,4.403858792122227
16,1,7.787408186011188,5.2847223370757686,5.64876552295388
17,1,6.7371296872036375,4.0654935225312405,3.3227391345465707
18,1,7.756055955867938,5.0283300062342215,4.495187439755969
19,1,4.616697065466409,7.28045451858736,6.502315650041369
20,4,6.374973299524905,8.1494965302715,6.348521917564208
