T,FC,x1,x2,x3,x4
1,0,7.117421724494057,3.30300104846712,7.775989279241136,6.063017209661575
2,0,3.5075108341924386,4.474247095381909,5.131005112341894,6.567257067125923
3,3,4.015363105430414,7.128179947693908,7.003648591714548,7.784192652327322
4,1,10.500499559526858,6.694858325602468,5.926811789382386,6.779220880931543
5,0,4.081321101266487,6.888968519094868,4.288522708682597,2.1631477205969496
6,1,7.224262693879578,7.824435803692683,7.117674573855545,4.009881169131219
7,1,5.336066883328279,5.154909180830964,3.280429982513491,6.443464557300033
8,1,6.6705340939534485,6.45287886056493,6.078818771936625,6.65187748497182
9,0,6.753850132966321,6.262025541203267,2.142473787118135,2.359471606034088
10,0,4.1043532935033955,5.142878957630103,6.426581102682434,8.001452145860254
11,1,6.663188712415067,5.260383909381478,4.236958515708645,7.178537295039362
12,1,2.7953546321830114,2.432796137508949,6.103942523765869,5.182487475714252
13,0,5.163212670182991,5.568998437207422,3.1756770722110064,4.46356844726343
14,0,6.26516748430308,7.117483324207108,6.412880214476522,5.103436701200957
15,1,4.144962982747617,5.542525085604944,5.110231815142356,3.2847797870362134
16,3,7.137666201071811,7.633735708814164,5.399031694419222,6.0027004543455105
17,0,3.4092630512968656,2.5808861114875836,3.273291181444932,5.133981416558237
18,1,6.091126678169766,7.217548887368096,6.534999322363651,3.130175097840419
19,2,6.142559175547257,2.177230818013764,5.044947010137913,3.2334453967392824
20,0,2.936655092950914,4.2348230101266715,3.922418020005896,4.696775331470387
