T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,9.094917565873274,2.390641272419486,5.560694708773585,9.27282008590134,4.270567583565976,3.1834004485899996,4.242939836095114
2,0,3.8857915814352735,6.170696598348709,5.420655720153679,3.862333178465573,5.432649731990755,3.740531380845863,3.4822270646715423
3,1,4.432332081035603,2.3794096429161256,7.994266755518085,4.159039808681398,6.0348453284603725,6.2878770600032095,9.334126413258454
4,0,6.305727781244314,3.8609314021595864,2.4310529739376547,7.334990460637965,7.828725578110517,4.722614574049338,3.8325011932218227
5,3,3.200639237720897,8.035152275551596,6.935424329240039,7.369479476048925,2.227505473745728,4.010711993847337,5.8666344521515885
6,3,5.556815292582798,3.703582658750064,8.01351782073748,7.010918498324079,6.368864482951804,4.507640300549361,8.016773091742731
7,2,8.347794585647048,2.294865847185177,4.270773189121833,7.344627432386867,6.432677506293243,3.3230271940812792,3.0488674218322807
8,4,4.684334738472838,7.051558822277494,4.997186415306556,6.242876000708706,2.578973365037535,4.355045496305482,3.2764003347345603
9,1,2.8436487247601407,7.631306412644727,4.535697946908086,3.3049952342163635,4.217068343806142,6.523214363441089,6.393905345792773
10,4,5.617602227181711,6.796777702203585,6.941527377968092,4.843945784238503,2.438813887598766,12.377747433587032,9.23884612001796
11,2,3.3717451857705805,8.970903930879519,3.0512335315453054,7.786896242688796,6.049495222277552,9.971163051109567,7.196271797944288
12,2,3.126542392517315,7.386684053149979,3.6627552076087704,5.232598040002518,7.410419306877797,3.258649171986284,5.745527137557259
13,0,8.120688440793126,7.279733136008144,4.298384925467146,2.8888669903166004,2.6157123452935274,2.814678120015746,4.1588218899765845
14,2,6.509881953022724,9.62275782840799,8.703560514221483,3.35348442266692,6.318716831946798,5.184728691581801,6.662184999345598
15,1,4.493579771989954,6.037491668224352,7.596598862419729,4.1327957911560596,5.821078667335308,4.77053649673101,5.048854577800821
16,1,2.2204570150571445,7.978438908603647,6.732715959820297,7.580997718974058,7.00311254295087,7.594259189280507,5.841961692554278
17,1,5.846819230801603,3.03423887968252,4.364843681592769,5.609661876478087,4.133800654933472,4.303689072960189,6.341131595003673
18,2,4.115205383912249,4.004246359667065,8.41118146118208,3.5287297713016943,8.883441682840246,3.5934059347871887,4.213922003379414
19,3,2.4316771600480407,6.521714864489346,4.073571713693788,5.081748840303597,5.505300199181512,7.3786577536731075,3.0633389082266818
20,1,4.584639276871595,5.563475503866014,7.2234794279032695,5.075018167230102,4.599610310491472,3.554115749239262,3.196192257294817
