T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,12,4.731963132007208,7.553962006431782,2.107984798836343,4.154854048827882,7.748146677690097,3.415308177294297,4.62612311530167,3.358754965429761,4.7889839799101885,7.130497907864061
2,5,7.086813754581961,6.592288649061876,4.17272790638907,10.987073446983207,2.3419647346994665,2.1878351998914223,2.5574312576664933,4.110328945977944,7.019707710941864,4.982806279252137
3,14,3.245558749372068,4.304213997246734,6.542812915386017,6.878496034379734,7.958568025806999,5.013489412172581,8.353802682455042,6.982808818196633,9.209665919664321,4.6796615751133075
4,3,8.119968855984606,6.675570586285677,6.5182177826458485,5.524047510549821,5.525459032370658,8.160593636910159,6.050234320137902,5.684986689664149,5.5642588681986025,4.185651858741755
5,2,7.381675152857686,3.5599432677567533,4.126381902685402,2.444569515296586,4.685287833135746,2.6186200895668406,3.7783499160745317,7.2056176543390915,3.127765797308957,3.6351218550148503
6,5,4.296660442755469,7.006496672905531,5.4671850136645475,3.230996472672164,3.756918142986357,5.042943795129568,5.707579246082901,4.021910400417077,4.493842352906043,6.492827175036767
7,4,3.401722709944153,6.533937685779976,3.3420468300274346,7.745890475086147,4.632627539102904,3.2389013168537186,4.375002801523652,5.13362273519463,4.924339336313606,4.692069887881902
8,3,4.978652422999359,4.227236084594972,2.4469061127017446,2.363848995559528,5.6340361982097225,6.995452546415115,2.420412496916983,6.482316736697117,7.387569883871687,2.078529315742208
9,3,4.876449455366605,3.0257395738730217,3.4253406010250247,5.515117080105381,7.2994923510878955,7.26744464941104,8.531759234805335,8.024336268921484,2.5859860212635017,6.067809201655542
10,2,2.9703222306348063,8.40445432270723,4.160927493158246,5.271542003263642,4.100611557015897,8.635681753212042,3.7785105644484895,5.012545325514878,5.301871523033643,5.7050310828476505
11,0,2.714688766844712,7.135367155850393,2.6075657306987883,7.111520691383877,5.008924063965836,7.864533058625835,3.1508363730304265,8.269616687733341,3.4519102993541746,3.617343821245486
12,1,8.447484607696989,5.103282584699025,5.584117484818302,6.0880407690077245,2.4899969878108643,3.2956519526992833,4.400034313609734,10.307615336142215,6.728344507701386,3.352306860865541
13,1,11.931065022409557,7.518542492723486,3.237037291774938,5.502955347222924,8.223287257333832,5.9278582295021955,5.179839371331272,2.2500531205500294,6.095664091033385,6.143468563572109
14,0,3.337973500077633,7.629478530915214,8.334542812435135,3.419135912936788,3.1837844189585716,5.365677211334728,7.292433378288724,3.3184900675290705,7.54623237832718,6.119853676604188
15,1,8.378144893696751,6.553211622387715,6.138477514542668,2.440171641586563,9.583812908917004,7.249828225507827,7.0338023884487875,7.625244678631938,7.365909733707232,4.449026392110861
16,1,8.436396449993358,2.0165362428621263,5.022471637194519,6.8774355868314085,5.225468977500567,4.049645520008665,7.590392680861976,7.142844752548685,8.56334803912318,5.035368559578677
17,2,7.434559244532315,2.6383001601170166,6.5692867544380205,5.276274770407494,7.684631995209277,3.0162415791802615,4.772785333002416,5.012174175667321,6.995867464371195,5.962461430749246
18,1,8.300088803167798,4.564861717373356,3.311175504294818,5.492056130021699,3.1486312197672097,5.770244873807027,5.07525880237673,5.025147404546258,9.523761362570983,6.378475479443884
19,2,4.258129638319272,7.031864895747819,5.273866050984904,3.0651796392825426,6.357665083548867,7.241860188178827,4.555862671761864,7.0456169217933855,3.7328302863771223,7.752383585629925
20,1,6.381684498312859,6.151366088624737,2.081801899096006,2.1417078150515185,8.618969740688067,4.606010426841005,2.537786370934885,5.237371828784664,4.443053056016144,4.636643285392486
