T,FC,x1,x2
1,5,2.5051671673405336,8.321422158313897
2,7,8.385932505053283,5.333789846133639
3,4,3.5565279518255615,4.17668104393969
4,8,6.292142862770806,7.6915670021927145
5,4,3.1152417274856994,3.733871966990608
6,3,5.621488129515442,6.080047681033241
7,2,6.4424843945581465,3.4433634947271345
8,0,4.392828993890554,9.065175221284246
9,2,2.65361584207023,6.558722763317645
10,2,4.395852779428167,4.924841604525887
11,4,3.0525051188643846,6.5187325561583975
12,1,6.7626294384474885,4.550407669823117
13,4,6.741144427410679,5.126305789815822
14,5,6.0501105454376525,5.44565427581049
15,2,5.54791320887456,6.0842776252350825
16,3,6.23561085819261,4.508938733689543
17,1,8.401674585894293,3.7295740215140385
18,0,3.2292811247321813,6.098181560721907
19,3,9.20527432702963,7.456461776666367
20,1,5.3006672796055625,2.222888154225814
