T,FC,x1,x2,x3,x4
1,7,5.149808159632093,2.868453059816317,6.144258897171145,4.12146806512162
2,3,2.434953161985789,6.513139212047607,5.35590062374755,8.044774474501128
3,4,2.2685963163993446,5.255187521368178,9.982943435751483,5.365078212629567
4,5,5.378211723696964,6.7038950737430945,9.690333496885529,8.275852593089342
5,3,4.622127902460216,8.353971883085338,5.61500211100396,6.553802131928521
6,4,6.354539537464695,6.396257671228357,5.1644859190796915,2.850279693271864
7,7,7.234760424705488,6.327978214658163,7.470308600252661,5.885744707992749
8,5,6.95432242188126,4.641446727411441,8.211354475659292,4.647182285320508
9,2,6.822674355355676,4.2483481959280756,4.502962153681315,6.457639419990639
10,4,4.163894134029498,3.6806216904434734,2.828033237038249,7.220120376289946
11,2,3.327769764495977,6.848543666698838,5.001680264794902,7.313053223750853
12,3,3.016742541407559,6.057814981456355,5.085889762534573,5.3062291862592845
13,1,4.4057038960180215,4.398129269241405,5.296412300780024,7.361947139823968
14,1,6.899818390417213,5.105373906334812,2.9062254233413483,7.244363729063671
15,0,4.680066181363999,8.151281683861026,7.349171840781234,6.335503075055031
16,1,3.0687514037571395,7.522808350154364,2.246172450478155,7.118167631164683
17,3,6.490506072222663,7.25089271112718,4.128380679702731,5.534234678901059
18,1,5.056935986057911,5.2311019040916795,9.35723226741757,6.484023503746373
19,2,2.5200035464779256,3.1808602711609364,4.096347408303501,8.201094277154343
20,2,7.041945175436719,3.3409061941547282,6.0212849288308545,8.587839337633195
