T,FC,x1,x2,x3,x4,x5
1,5,6.113364712861969,4.447695583017262,2.8797072752226898,2.1958902255299564,3.3684454914310846
2,8,6.449092520424201,2.736379889721086,3.988404940634243,5.616997435350754,7.259087213930315
3,3,5.353396451867477,2.2621866617297712,8.645173624496307,6.005907218734743,4.051101176657914
4,3,6.840376284400786,3.0925343128553804,9.722621086291213,3.1127616312203554,7.17651080378662
5,3,2.3922037846739133,4.695175100540239,3.285417207623766,3.4518804474484797,5.691070368927417
6,7,2.990381021351284,7.103677973331289,6.557306061498554,3.9068501706743772,6.7688134165084115
7,6,6.396054140590275,3.3038238541221903,6.260357415111088,4.799398982447764,9.837047801629415
8,3,6.239407349346364,4.5496511357394525,5.568134639076101,2.8173426728140143,7.280283777064852
9,1,7.094606567328955,3.3861241291082704,2.8629804136545665,6.317398666126372,4.293403132405496
10,3,7.983348509043513,6.829489811652127,3.253336113260839,3.887008578954291,10.918245739843261
11,1,4.758876798675863,4.5032880651891425,2.3212589460075312,2.117013075841849,7.6766958727907335
12,5,4.944019674801308,7.427649193181161,4.592496550147841,2.4294074957041025,4.256968419196035
13,3,5.662522910874536,4.853375703590719,2.401035501873974,6.599523700811718,3.19380311104399
14,1,5.19563184544533,5.540018848551689,8.205887448672886,5.284625402090358,6.022397567605395
15,2,5.251692584673256,5.5620757857460985,3.178775166231505,7.672667555643891,2.1549193393682535
16,1,7.400431549250169,4.001378566337802,5.056876993976687,2.5021334367008263,5.461167214931602
17,2,3.0517903345952053,6.796708496190821,6.969208919666084,2.5674123579731516,2.087568447484096
18,4,7.4036709092448145,7.747623288189042,6.466980195396812,4.80425449224987,6.551461038078106
19,1,5.169990527138605,3.5179197981401993,5.011673129585568,4.521699960952832,7.010301125332879
20,1,4.377733477238213,4.0051891870787255,2.351700670744144,4.643135880725585,2.399551594687434
