T,FC,x1,x2,x3,x4,x5,x6
1,20,7.462702816216357,2.412306466937453,3.640301189670785,6.052542925414903,6.588740490129143,8.3418623192531
2,9,4.7026944141793585,6.307266098575237,3.367098765896454,5.459941976188851,10.417588832949082,4.6288782796146375
3,12,6.541403038799775,6.501117373011836,7.588854709924034,6.181580632612323,5.349816373949998,7.311129542745395
4,2,5.511974864580201,4.543422770732463,7.274327945586929,6.642652574515114,2.3572325886342167,4.326532152163483
5,11,6.0088114246970346,5.445114586840033,5.007278585280892,11.143375750252629,7.129958674148295,2.7118850299411426
6,13,8.2070286025228,3.2109067783314114,10.859598428965525,4.048151240032753,6.538834221163418,5.328105163743621
7,4,8.206809950702318,3.0743999508587376,5.444126357281107,5.126549952560365,3.747574254380118,3.3951228686846697
8,3,6.128396958450013,2.1209041836988547,5.182727791680083,5.15107796649156,3.120614354949529,7.356951346807987
9,3,11.245352239615581,4.7038919704367395,6.631978466223624,6.613943741883412,6.728271999839675,7.381161288176641
10,3,6.787356172237297,4.501193071575953,5.947844677228115,7.033546309156733,6.0867058207393345,6.292814899087734
11,3,7.13647689741443,8.430295038756553,5.487747940459663,6.46919717333859,5.23688421397388,6.042670207136093
12,0,5.602354231671897,5.219053328311123,7.502215572288428,6.625021612202718,2.027082987080084,4.244279558826517
13,2,3.556204090567629,4.252494695815801,7.218886324498891,6.024919450639849,7.972879660606273,3.988565625922444
14,2,4.32506817157416,7.378328616580254,6.048189874222693,3.3453579618930016,7.007770571584798,7.991041028360362
15,1,5.515321121859864,2.1881107184290007,4.402653826344995,3.44892183658269,3.1024423541270836,6.3343923949814025
16,1,5.341729503898175,7.2534953570284975,4.771524119838323,7.524798488393431,6.437584156039594,8.518569028318643
17,0,4.9539203362586814,4.440403591634426,2.300963364551196,3.2352925598002695,7.0645156362075445,4.165170386276072
18,0,6.80453452316027,2.1978126860164853,2.7922917614630425,3.1672970203802686,3.503881211027158,2.096980963393264
19,0,3.138619890210644,6.884229882851386,3.457582711767205,6.161440907645345,4.495965974550936,7.12259314740804
20,0,8.318313531511354,2.353174206914938,2.4497871290342443,5.645656315578221,5.123212911321986,5.114300016937114
