T,FC,x1,x2,x3,x4,x5,x6,x7
1,4,7.383756027117122,2.1017741485587766,5.385910682036167,6.09485749069877,6.714451413387138,4.6091146632993345,3.12583328900775
2,4,5.224345102487694,6.2816823914389746,2.1456443449759868,2.9806733796130187,4.33922263221301,4.065758897083398,7.692977159168036
3,4,5.334154632258679,7.316277637234098,6.2390664695423625,8.013406837984231,2.533819318429523,2.065873555865102,7.488583142545643
4,6,9.02842245346477,3.0299737904377073,7.106737798405575,4.246303748018192,7.070440694080282,2.9284604175652027,6.663486121822121
5,4,5.595072859958506,4.199612414348761,4.23853065521684,7.667734423292618,5.593565191860813,3.396292026157946,7.695571383794151
6,3,7.296409230738765,5.448782269418999,6.140315721886372,5.145525411160176,2.3443074392004033,6.967510722445145,5.946876933109662
7,4,6.685716322200522,3.657722381150441,3.672238481491642,4.603617084202099,6.069416551851151,8.368165535517711,7.859211188364375
8,2,2.3360518450787704,4.338548033093573,6.458300368056484,7.631461990515377,7.542484749726679,7.959013261759153,2.624835973727783
9,1,5.500904962930378,4.673665930439245,5.045681231352838,6.006315361319208,3.6270623887439983,5.399978044242583,3.043498947912547
10,1,6.117625299666167,3.5557016976446008,4.347542018366379,3.0861466386176866,8.228095438124868,6.043608364600173,6.882011292873892
11,2,3.150329815888979,7.363863104876295,4.393872475835038,4.860248164000151,3.089743075450467,5.502685152116636,5.171690009944905
12,2,6.775370962965669,7.851289480252163,4.726852158697409,5.839732357852536,8.28812822187615,7.579442852925044,6.691500652765798
13,3,5.652273873050689,4.630161818842599,4.738596642438625,5.731328366010636,4.172985144499192,4.51537126315034,6.052159911323716
14,0,3.5040266037315515,5.022862971541408,6.0830278555285675,2.0832833386334313,3.2567607233067943,7.157831857977608,7.930503511452786
15,2,6.582345703196847,4.557601988557727,8.068686623510253,4.606253636864465,3.804098881741156,2.009438330230957,7.7764659177395075
16,1,2.4197161728325183,4.6204208892075105,8.894996662094131,9.363635620759625,6.277592484575214,7.726679128674377,4.0968243235136095
17,3,5.1481465403166835,3.466314156588073,3.184097650175255,7.923292869695802,4.688603180177816,8.409672370169748,6.801549344489471
18,3,5.1627723951697195,3.5518509882963727,5.829261729418505,10.451238683323199,9.277600057670318,6.994387364497229,3.252178945008188
19,2,6.222645827165838,8.015558949244356,7.613017628572157,6.102061783199563,3.017135386564697,9.523084401176057,9.961195259290726
20,0,5.610846517747118,4.352674402331075,4.095157155003426,6.514035754956444,6.1124819984434,3.235291307765455,3.302658103541378
