T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,11,6.475968681736482,4.91139641619803,4.234014893910618,3.0510839776458614,2.6168492605771725,5.063340049731364,3.017961882947224,7.30056701592453
2,6,6.838228725648383,7.2686440938442765,7.607967859506229,7.55395759061212,4.453128758974863,7.406876437495815,5.0053055479054045,5.857519777155641
3,8,6.548553410972463,7.30462934235467,4.469004103340167,4.150291864776384,7.269072369670247,4.693563040546845,7.885350268262973,4.785895927840619
4,1,6.234166805309655,3.167415109502282,4.437750616516409,2.7291162737563353,2.5684202246633836,2.859748262279996,5.576664014304897,7.943211142963074
5,12,3.0016521422557836,6.965813508527842,5.880280398245736,4.061622786468697,4.119388682863024,7.936004181677983,8.277461633793651,8.495673959784416
6,5,3.6637554003603143,6.188486724274529,2.622986608056128,5.5893587997862,9.290656722617385,5.482845715557589,6.383338012621526,4.286454742393476
7,1,4.685001315145254,3.2621985043063253,3.063830905025121,4.30261981776915,5.18982445010597,4.878140955201103,4.086211896346641,4.095670933622288
8,3,2.6313215350971486,3.055019049156181,7.489288902777115,3.3055308870552693,7.223737907954506,5.7883836902341645,4.425696591124855,2.866824733613993
9,1,6.045015568972103,6.265072651297083,4.285482037873864,6.1456411109196765,9.464077680523943,5.835699664903998,3.69444415405629,6.736353132552458
10,1,4.068568630096104,7.535912237090918,6.156691870451633,3.550412633760809,7.5973558999222615,5.543666270078121,3.042269349773168,2.795200521862166
11,1,2.044981781867651,4.399520391023403,5.079994397155569,4.325592375320816,6.825732473092213,4.163273725623957,2.7235722642646056,6.501015716051674
12,4,7.178772910894477,7.358322626290716,7.638113190860963,7.693599799001233,4.30637891321088,4.202437455152644,3.3673192225515844,6.32258352218154
13,0,7.045716772111997,6.032580063147135,7.170399664094212,6.354522472133818,7.976737605588638,7.377853303959494,4.278277208111769,7.181173124214565
14,2,8.970544802342477,6.194596789371026,7.001753455962271,7.608108850315288,6.323546739530597,5.847303924754653,6.050522511344045,7.799204030879026
15,1,3.7798040190719076,7.180522002524425,2.582031775335215,6.174013573210638,7.887914535394521,2.604642809307303,2.7812348514866767,4.361529132481674
16,0,3.7873615348267604,2.0550647159974362,2.14735639036482,6.234560435933853,8.313467949412855,3.0238052984934782,4.350664170133943,2.2282122031548903
17,1,6.091305940102631,5.0466889328225175,5.117760610916519,2.4796547214915177,5.300074647656173,3.646051138863048,3.5111339996362956,3.0540098763368277
18,0,7.724126916736521,2.4260515488298395,3.6579583209078836,8.340733781902546,8.625217233683916,3.0094739936418864,8.289258671820912,6.492855371655973
19,1,5.034609860199355,2.3450802421318286,2.207495063254491,3.6263435453952946,5.1952901323034375,6.172597264174043,6.2643994165468815,3.413754993024959
20,2,8.153120238941112,5.948543331035312,4.420088343640226,4.534845565689401,5.238704501792112,4.404532535947596,8.7891050137806,7.46504579701165
