T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,14,14.21147837432608,7.736155987200364,3.531513996753307,4.189767554521698,10.942174588934968,3.2089070693385544,3.9352115386046695,6.5125610724478635,5.461467234683941
2,6,7.834678237102809,7.564024634407242,6.520257850882438,2.689354017337022,7.448584590420351,4.699352523699474,7.714607683501545,7.961211084762249,3.3709067825106906
3,13,3.6404906802158346,7.520979115358214,4.014452932874184,3.0329673492025893,5.552768201841553,6.044494562370452,2.177382638047513,7.365792903849255,7.094947367569065
4,5,4.050505322199302,7.540849104711644,6.313623016283251,3.471937726088579,3.654255855631147,6.2383186668256005,5.176478554382288,2.7129797385070313,6.595891878560515
5,5,7.149782892993333,4.960892369137454,3.083783255862801,4.206397034148934,5.655013419079445,3.5522179087673837,8.217161630984137,5.66066723504738,8.390166042126594
6,7,4.123008997795869,4.8596134130714566,4.040440531084588,3.8858185581658207,7.162980671591979,4.156972744702625,6.778149633600247,2.5919827084093487,4.988519618360247
7,5,2.4893276866004648,7.987904080590837,7.7906556293070315,4.691980545422355,7.363552951607572,7.440866172965894,3.450034604934757,6.703136812342619,7.947592931796813
8,4,4.480486801105368,6.12060833998852,2.2835906879337506,7.233834104520627,3.8874522555556803,8.010254567109275,9.739640035158418,3.535967951817754,11.20305733639863
9,3,10.709866918593738,4.219889320676151,6.111050081586013,2.2851547148018847,3.3112843597331065,3.1107108795209837,7.195009096711163,6.619552218300703,2.0721785544157854
10,2,4.05105878134108,6.5243441374625935,7.154395055604663,2.0654106326150306,6.344991509688413,6.483032050342198,2.4458799325605356,7.09380221962941,8.013373539238184
11,1,3.4596559762430803,7.361809163358445,4.2653046787709314,7.535986346120166,4.449018357264576,2.1037960326355845,6.070550162822626,6.040093971131763,5.498392838552832
12,2,3.6293557035287214,5.222652283821696,3.468671863939268,7.026634919871038,4.480656682577259,5.886969946908283,7.296643905326846,8.774439406419107,6.211267938666581
13,0,4.607653749475381,2.6232858325648656,4.0995336417946255,2.2788451321874073,5.386573639771947,5.790052981981241,5.132829438766696,3.230968064076206,4.8658458963410265
14,1,6.472914613836573,2.109817511637834,7.661855835281261,3.621557049941275,9.552555818472902,6.844728916055388,4.007307139527482,6.754767880551296,5.938129303429038
15,4,8.001098140543002,6.644158757703163,4.8018639724557595,7.5609908176223,5.716362319180825,4.2509539199976425,5.047484764943538,5.060987797069628,7.361736319584212
16,3,8.461993233932892,7.189569712788708,6.363229126572038,4.004557671038375,6.4284239820738085,2.833207379632526,7.299808590510755,5.821391540911155,7.172739949468648
17,1,4.733439800336863,3.3214863952553024,5.439097833273359,5.17624569129967,5.936975693605241,5.475303913027938,7.014829078478622,6.182882189691458,2.4167123556307195
18,0,5.645929974747943,7.530717811680425,2.036186650773671,5.599749632022143,5.099220224047134,3.175236644093744,6.807184011633106,5.84605678921498,5.282005321628807
19,0,5.323839324799852,3.338631580263618,5.315635162542647,7.1699135858242045,3.466105246632737,7.437184260067839,5.978980419503455,7.254059459618781,6.037233530536154
20,0,5.686091770186986,7.327687004820574,5.870510414025541,3.4118303269515597,4.735876528891818,9.043638448387536,3.268639366959388,11.974123438732246,8.114518715960997
