T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,13,6.081556204016602,4.179236021780349,7.194652157914938,3.3949938137277487,7.057150909520964,2.035183975083603,3.667478874631456,7.665909820578655,4.329353517686032,5.079285885337725
2,9,13.028310142188062,5.3352403233734265,5.852208036462357,8.443877956187515,7.156474988451844,5.435202380279505,5.288883930143875,4.328033288578826,3.1395397382691534,3.1841461270247997
3,5,6.531785076963761,3.961579514796358,4.401418114495655,6.541127074836651,2.887937998041946,3.390121134242751,3.0942032381828515,3.94066451042902,6.154226259973254,4.623302119550601
4,6,5.093123634702533,7.034030812480157,3.371718263024116,6.501790589102159,7.7277286587424765,4.546281785126389,4.182584449817163,5.024091359173937,6.072785350100737,3.8481724480179604
5,6,2.345141265444152,6.920713961224571,6.372758761258607,3.73319242738257,6.230937320692529,3.281762632835466,2.4909986177609005,7.530296570348569,4.89283514038493,3.245470120742775
6,9,7.643942035016005,6.8305522271715,8.767387342931249,8.366312809943139,8.296951779081645,4.0844948102851415,3.0518530724772477,6.1465457173667986,7.096301938284133,8.051331878186826
7,3,3.443807896799957,6.367982075694076,6.257315802331145,7.7500755263494865,6.633348612371291,4.0702173848249545,3.022054465033669,4.670374066771358,7.898567068959858,3.027642127231827
8,5,8.146040169608613,7.2059260672176,6.370277096878848,11.414025578461608,8.046774089520378,3.0940712294660466,4.50470308020914,4.180707775254892,6.2640240172589605,6.144951599567121
9,3,3.0162248214871625,4.8709474958286805,4.28491471928908,4.757977761073713,8.10734029058226,5.651987716984204,6.181201258861152,4.953038459489457,3.7170165292594612,7.574148190585504
10,3,2.248362477451111,7.3092219336597966,7.436050781503143,6.192911942716505,3.1917143660061784,3.3087323157265183,4.077922229192682,7.32726049395064,4.196399300576266,7.3873226251418105
11,3,4.365335996059733,3.385407204695989,4.742968831013677,2.8605058912591277,7.179224150458034,4.364514566356964,8.109149440556505,9.51976459823858,6.215003836561775,2.759976734275079
12,4,7.489024828635924,7.2903561955816745,7.307489663678944,3.320724522342128,2.451722784714102,9.22327613943588,7.135034614130612,7.508306596205953,4.216467311720947,8.326068409080825
13,3,2.5714613721717368,6.074637390070925,5.394782955337264,2.0303113115953244,8.004792008679653,5.8996146451479055,7.093864424931508,6.55229869592882,7.232775253932516,8.648883063974907
14,2,3.019232920718473,6.7616032265528245,8.621614695941215,4.590504187685918,7.202253465757416,6.356161954875629,2.1866179703692175,2.2779332003524115,2.1528190119526336,3.3434946871210927
15,2,5.020196853972542,8.52328403155791,6.153296387778854,2.253063138312072,2.1873563536653746,6.070734058777857,6.831722949074783,5.6391150892895325,4.20784155680427,7.489730749845823
16,4,6.026371661819574,5.01939883206334,4.616545106914632,3.8024925787137898,9.382116051865827,6.874804531371711,6.168456536932459,4.980067273668085,5.0857064625276776,4.427575032872841
17,0,4.417927134632559,6.157145576896321,3.484585250122495,7.100743970293641,6.358459892630203,5.063043589175006,4.082360013124257,5.10348866361954,5.157612983874714,8.681795997943166
18,0,8.048165690470814,6.180486119222705,5.010337769318048,5.639654289612629,7.261499336868432,3.4278065850870822,2.03495423466917,6.238232334241339,3.5330675910028186,5.282766860008025
19,2,6.416967366511287,5.830463154622188,2.762500020922891,5.280928662695683,5.482834258351037,3.8748899744246286,6.224719785640672,6.237142265516778,7.110953094141693,4.064019434987273
20,1,6.605500963491966,3.8082959367849827,8.647104199408993,2.2779800650023345,5.8013124608036275,2.372097512371584,7.828930249579686,6.109981608246389,7.016939786606067,5.117292440905281
