T,FC,x1,x2
1,1,4.081681698998852,7.534517079439866
2,0,7.788371062911571,8.238774058549327
3,2,3.5137843281395758,7.448428879646572
4,4,8.14720036001837,4.527994977748194
5,2,3.7484251195181466,5.317634828814763
6,2,7.677566563163071,5.7522871364107315
7,2,6.788528547416018,5.080816672225882
8,0,4.641487879887454,4.512521822441463
9,0,7.6417027909515785,4.026705226649896
10,3,5.863309518447958,2.1594299880564116
11,1,6.383947797171972,5.1831912429723594
12,2,4.50909877490242,7.92275940408494
13,2,3.8659648628656074,6.2030693137608175
14,4,4.723043832839266,8.002627895972353
15,1,4.42020766908949,7.035832185715854
16,0,7.518527737757108,2.062900153375123
17,0,8.510424012594608,2.853000633033505
18,1,8.350939326811178,6.725086530391474
19,1,5.6906828575433615,6.1067507840897255
20,1,6.359861093094246,5.297751833421457
