T,FC,x1,x2,x3
1,0,7.808353551033164,7.203169864817222,5.348426203319261
2,1,4.731052213547162,8.547608820955535,2.0632256730155363
3,4,3.283410392246031,4.428524180210636,5.030691396482491
4,2,3.6874155520569936,7.08356499556127,3.077598383473196
5,3,3.044796020688521,3.0716919391921005,4.014170118990647
6,1,5.05868373219373,8.156810092793176,4.937671307154022
7,0,4.119166522390095,6.662351089305474,7.044441019086932
8,2,3.371223686598367,5.225104375035576,3.37507448210248
9,0,6.88970909820083,6.575883882968391,3.0418222395728067
10,2,4.590672155990885,6.126439359122799,8.20542320056085
11,4,8.636168195711793,3.6889596716380457,6.168459823228772
12,3,7.687016692159709,4.19760864285794,7.960893991611709
13,1,7.490338460817527,4.610941168310675,7.35001482317204
14,1,7.992028187467897,2.494652814087888,3.2020513382748073
15,2,5.032315972486903,6.6843922347441165,4.32231789797096
16,3,6.299755683721951,3.317971267520443,8.861658598612763
17,1,2.1304252691042813,5.126954031959177,4.012531926177746
18,5,4.406502275580091,6.104801322377034,5.8616599098722135
19,2,6.9396686183273255,3.016405699721296,7.395520887335277
20,1,6.425769276739598,6.032948871624657,7.274148630207534
