T,FC,x1,x2,x3,x4
1,2,3.0789997276369707,2.895431521173881,8.04782300518054,6.210448520792083
2,0,2.1192500790956164,6.0204207693309195,4.8809995413242575,2.1627281674856675
3,0,8.19542801211875,5.991880334052068,5.202323596852108,8.086825324468538
4,1,3.222886376776095,8.671556602299674,7.7836195664640515,5.592419763254108
5,0,6.154501719613428,4.28811947280917,4.890495347714004,7.574029106475839
6,1,4.145746904224484,2.5325574663308017,8.494427995917373,8.57062071303524
7,0,9.36117118305467,2.530956336051545,5.213634279710906,7.668146972420045
8,0,4.797764747067136,6.502763087537831,6.096123714233174,6.729269027124298
9,1,5.25430174830108,5.25509513501914,4.9870098730461345,4.578634005019132
10,0,2.284706262151089,2.017914591847801,2.806921560189045,3.652626629756585
11,0,3.7661298117973256,9.279776256788288,3.809815642097772,7.1619410616296415
12,1,3.0319640467832647,7.0733788659039645,10.224567255013365,6.94251091947306
13,0,7.978475234696866,6.4552394090160945,5.457752918981994,6.585259866013639
14,1,5.887996552085939,6.737678682675861,6.913087195614381,5.033800759687034
15,0,7.380343755938736,6.577932361448769,7.898377072153054,6.737199396324677
16,0,4.173729517670323,3.5449628524658814,2.339262199770584,4.465701796430175
17,2,9.865558223327003,3.534309729763933,2.586790584340979,7.629339596234137
18,2,7.187214577395821,8.459528594213946,8.552853892868805,4.47333967939717
19,3,4.282786611468026,5.049794499929385,2.217401008564094,6.651232561080837
20,1,4.609775564999087,5.612296241591618,4.026875956162129,9.656271421730928
