T,FC,x1,x2,x3,x4,x5,x6
1,2,4.030328570040759,3.7047949838659804,6.323630956846941,4.043023408000156,6.326014065832485,4.339460292417082
2,1,7.308045742282857,4.933850305611792,3.2022571365052763,2.180839442079833,5.203680818755814,2.8722474692636957
3,1,5.192576577059546,5.165122464676027,7.699693446933864,3.269461548908561,6.767880823481721,8.153036874912335
4,4,4.060293002927106,9.495718149165786,3.1044413517702774,7.3708450518189235,2.7820336243655217,7.26248802590556
5,1,7.576019250353928,7.545570694691108,5.3117109564847045,7.9273749909522015,3.045594091240411,7.106913519850111
6,4,5.483151065824288,6.4033745445305374,5.855109041091097,5.3668185003485815,5.12251578355926,6.1370952112162565
7,2,6.829017134716504,4.680408857795154,4.9755723698169,3.1846923608494055,7.706635699709128,4.264377130426886
8,4,6.625939397217827,4.015783862380994,6.972003285053185,6.026827789745855,6.9081309734529395,6.290697783159119
9,4,6.118728154744417,4.361192918179716,2.1758304767390126,3.2374019770898905,6.545761884557529,8.184061886183146
10,4,7.49551102863594,6.151439272881332,2.362913960981239,6.358374389918168,7.675864034834556,4.934510130876283
11,8,9.379850139117222,3.1597413426831005,7.622596381518079,7.505387654716914,5.2585248846771,3.295735193023316
12,2,2.3021675743308174,7.636821476897554,6.314911280950479,6.892768922116748,4.043456537135874,6.1437040558255305
13,2,3.85410546060742,3.7699302135874926,7.157487589550727,4.670487311552406,2.236982477617542,4.423601588458422
14,4,7.610877502294335,2.881633877053803,5.818578506561607,8.206223062026758,3.0940564253217566,2.2114266691325817
15,4,9.521576843627923,7.144193382952023,3.2870667965774705,6.81487215199958,5.120311879125395,3.0198740527957253
16,5,4.3787946726238784,4.5517731712616785,6.502046576710025,2.425838315849181,4.126514962293163,7.962676244252729
17,3,7.4021342922293325,2.6532170493061478,8.643116509860882,4.549502546924,6.696120371508971,5.848308143241192
18,3,6.201897554315675,2.3285692929606685,7.182810544403987,7.713901643123413,3.6685818487056534,7.018250542028347
19,6,6.810725492092191,5.78842383205353,3.7749938625890906,7.421103423205486,6.456795967244491,2.3712815733621477
20,2,7.011098281196466,6.368689325465798,3.2949944924973886,4.101754738702844,6.599415392904452,5.282429835159222
