T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,6,7.062156164045125,6.869273222957521,2.1129791801271143,3.051070381954198,7.061561172101154,3.360395609197934,6.754829441762791,2.388487293869517
2,4,3.6221304071822855,7.848167911301843,3.319909084422702,3.320006439798462,7.209693262925409,2.940124736570406,5.1369164794800595,8.131807914381994
3,3,5.763243276438991,6.056841484805526,3.8861522355759583,3.7585084428941546,7.165315627409075,4.268423570224998,5.1016934583146085,2.0348656485809697
4,8,7.0491019647849456,4.237988029603567,6.415177270432821,3.639808375411527,8.727732184122301,2.7237708715721864,2.2543465033127754,5.123924993243777
5,9,6.610037886879272,10.937230613380391,6.6561792351437274,9.081731641378633,7.078356478343401,4.261861466133103,9.273936625631846,4.690359015568518
6,2,7.053879354921868,2.102764380518577,4.725181905004025,2.2107013818868873,6.74263432133603,5.049303991165733,7.9669543406078285,7.777978530634262
7,5,5.313557530658286,6.363620118015508,3.5296524370145614,4.442012672511565,7.37485090457889,7.268041654970411,3.8733119786755577,6.1679952149047335
8,5,6.005912692344508,3.463234700469525,2.883628300087506,2.688713938805763,6.072050024986466,4.526559885999049,7.103697393761116,2.903940704257119
9,1,7.438171010664887,2.9444267477352164,2.687838415871345,4.063832783346813,7.390315733948185,7.49911580594682,3.461249596913315,6.7880074490739
10,6,6.538948392028228,3.1758138005217065,3.037423863012525,8.214581915281803,6.593328290380243,7.515745912577809,3.0191827865821113,7.0166942912394585
11,3,8.486129006949032,4.102214804063548,6.158446683175503,6.397199396900799,6.374685957139109,2.0064213394085195,3.599847218101351,4.453721221751894
12,11,7.6325416296113815,5.885257952898776,7.2378497110478355,4.809698398809402,8.282739228564994,6.6860332974470795,7.762703490625244,6.850906966546212
13,3,5.4155384140722855,3.520321943348505,2.289629942757059,3.129374192045384,3.6694798477791677,4.741407794493898,2.042204846861051,4.622230978257478
14,6,6.005296384293618,2.005879001061305,4.258722037202924,6.242242317366846,6.371102388248722,6.647492657327113,5.57587279977491,6.09005922398034
15,2,7.951118769659736,8.872993214164296,6.680633684843864,7.806011003435184,3.884297838978479,5.986279592163607,3.7400797603076685,4.803796643337537
16,2,7.8427353241911435,3.3941492981856722,4.042667189239848,7.106897721713898,10.179962237533891,4.404889944757005,6.014971324630145,2.1489574671446525
17,1,8.456367613405956,5.056114398787986,5.4773224624446355,4.551886823166102,5.772943623939861,4.801924965295759,3.1243275724206976,6.828701844085958
18,0,3.8612201506829336,5.314681847004152,5.174030035405057,5.481676548854452,9.410434561661198,2.809087308083604,3.266875004358762,3.0042229217541494
19,5,7.678821667586699,6.585047463710735,7.895901162979586,6.017653722097895,6.336114377654899,5.398210566763637,2.159083864022157,7.291927768364496
20,0,2.118990209121761,8.116049660902487,3.2716216619822305,4.104865034721185,2.7556572746969152,8.625240760664873,3.3210681746270847,4.91695230968768
