T,FC,x1,x2
1,0,7.363868557027684,7.095959420526578
2,64,8.62776252232714,3.33923823729633
3,42,5.503865195129027,5.240371720327973
4,17,7.479425953492441,4.453561375571486
5,2,5.309643798180371,6.764527441893808
6,0,4.156285731747263,3.0266992072829897
7,0,6.3840193045269125,5.0364757581489545
8,0,4.067554988942757,3.6072395020276504
9,0,2.97139157976073,3.143986807363699
10,0,4.467899128363438,7.351314946610646
11,0,7.073551298127594,5.155555883134858
12,0,6.609744724691768,5.173106271130945
13,0,2.416265507269899,7.694739971549528
14,0,8.832983179854606,7.271485131773564
15,0,2.8586451233044583,5.845446178171579
16,0,3.0551945596209977,3.745153104109212
17,0,5.904674769970734,7.786359197513322
18,0,4.425850463303316,2.7120556683254913
19,0,8.537432987670348,4.5065169900309
20,0,3.01448069354588,4.390390102860285
