T,FC,x1,x2,x3
1,2,2.1379136456745833,8.093080660917376,6.347532557359221
2,70,4.745615458891931,4.659791853802927,2.6884668752597416
3,31,5.129885853215786,11.466385362592414,4.06903680474133
4,3,3.753020749358881,8.001580910465664,6.301706218182012
5,0,5.63252655280062,3.8971636659251554,6.314329582221769
6,0,6.251034185899892,5.369698392605646,6.017783840848173
7,0,7.5030447354590395,5.427976056745912,7.033641797117449
8,0,5.473223169781273,4.170767082313406,3.7621807063115127
9,0,7.3765961244441005,4.0276803308730145,3.7984523816410336
10,0,4.537579699106953,6.064529396671513,7.151322555506686
11,0,5.485955924762523,6.580543432218204,2.4279153336484507
12,0,7.586295995560034,5.8622745863452765,11.51607776894837
13,0,6.088967307289573,2.312508637004437,7.378154903878351
14,0,7.282065332783129,4.5509922753737895,6.145321930714745
15,0,7.214622196555039,6.769716131784903,3.4174364415989404
16,0,3.299335159738906,2.026908049602987,7.025661716033862
17,0,2.368829129166215,7.150648601186151,4.2431892270550895
18,0,3.495840994681552,8.067551035113656,6.243048225518862
19,0,5.124769823611414,4.710305145850076,6.457878109700106
20,0,4.709867502082687,4.251805955757118,8.492880447312483
