T,FC,x1,x2,x3,x4
1,1,7.439781537841155,7.809811897192757,4.624506678523885,4.031482845600548
2,86,2.4937928576035038,4.16203613343896,4.8522181129353825,6.270848859063555
3,36,4.21573137406523,4.183583920691165,4.848483871438011,3.7556820917843288
4,4,6.102883034899911,6.4222757433595845,7.347909026375341,2.9756891893678787
5,2,2.055909435107868,2.6690208770758073,7.067269939070062,4.239042407104967
6,0,9.70628651499499,2.4636870453739714,2.0014816323111586,3.048520031932054
7,0,5.137388480772038,7.714449596884162,5.928227139193904,7.774746159385802
8,0,7.3501703828305,7.981789668917885,4.64034490806888,7.1101029649603715
9,0,7.132319280771697,6.765319422305159,2.5844547651641183,7.30599918366849
10,0,4.046073456451452,7.042470625228913,9.537685637925964,5.161759414175647
11,0,5.401309224566657,4.077005870006923,2.0121490723373796,5.510791205931822
12,0,7.3867648879562395,7.077229083579839,5.423568610808603,6.483069050628597
13,0,7.5854314142628025,8.443740611470217,6.125182131379777,5.6163570269782905
14,0,3.538595089137513,7.912440709306581,4.386220237287834,3.1363999972835184
15,0,3.628312311129319,4.30947424009936,2.0625844882882585,6.000706394812919
16,0,4.28660519675902,5.05640418032482,3.3603876739787975,6.109343303355121
17,0,5.400147271385588,3.01500468099388,6.0228621012515635,6.898697666589309
18,0,3.193906957046023,4.724338512605402,8.356146876226182,3.621683802514532
19,0,4.910049946210206,3.0211237558307045,6.996517968876329,5.982542323451769
20,0,7.629842911199553,5.549842103063611,4.511882722632649,6.901871429061222
