T,FC,x1,x2,x3,x4,x5,x6
1,0,7.834134555529313,3.028340829542669,2.4647105070586433,4.424656410875781,4.270576940876602,7.399410557612245
2,101,5.813416134597056,6.058990099123899,3.182409188546958,5.092675461303675,7.392766818838313,4.026482787067204
3,28,5.147929530327429,9.324073914659579,4.177901388934302,8.190135758402196,5.300278447570898,4.867171655578544
4,2,4.241420062053684,9.06935553023133,7.431603563787769,6.885042378138438,6.156118935536023,4.185183400097812
5,0,12.424871316838317,6.250216527081152,6.465609831822567,2.73872633471547,4.139235557554018,7.164222131909201
6,0,3.2173052531039263,6.033518741897276,4.67481384751796,6.610566794758229,3.2111944787982782,4.222492486534965
7,0,7.660018817762419,8.172129625576552,5.9873684548746455,4.415198997326934,2.2286576551853248,2.014349255831267
8,0,7.62416928247308,5.1252253397691145,8.347603123015627,4.82977757877857,6.140790069950472,9.923264357571082
9,0,5.168795742077743,4.809629384424447,6.201961689524115,6.5495082085316,6.012569966128856,9.172633030701423
10,0,6.067058442674905,5.9232559320586144,3.4725079031590314,5.469999290694357,2.5111471019927074,2.0058792976691056
11,0,4.006965049047407,2.9088841744232736,4.072107938171691,5.541619717454083,3.0418334658419086,9.23128053103896
12,0,6.590997207375881,5.028151871489065,6.642858100702493,4.1476929801827636,4.076664127140768,8.997211982735145
13,0,3.1127060065495393,9.1229857943326,5.918476332203755,8.315176318651911,3.4692097350118756,7.564686138137829
14,0,2.3872009065032085,2.1045385704041686,2.3444846137086124,8.089735629318616,6.132915356170765,4.346144967704416
15,0,7.451585472372818,6.133679297376405,5.1924537037195355,4.386574113240263,7.2598699371987765,3.5107128790550077
16,0,6.338228431468528,4.248851404087136,5.480670122478211,3.465041223247657,9.416731097278173,2.0351219218553833
17,0,7.556699013746748,5.512506635111216,3.2154165034556867,6.879548483489105,4.300561380621551,4.980383624528663
18,0,5.1491828974546,4.382306997910467,7.7716324669533385,7.130051343958133,8.347873698846245,5.29535803717546
19,0,4.735874125413606,8.44417724417395,4.303999531397771,7.5153292236655975,12.436903001644772,8.022463275060353
20,0,7.174778543286706,7.422922240499979,7.998919200680964,6.167623082812448,8.085494223888357,8.19848099030403
