T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,7.24864473547072,5.850975206895441,4.28186501484564,9.092488054011218,7.795207712922926,7.905173365381977,5.709864222443608
2,98,3.2618955919893864,8.60164290591507,4.59029031862878,2.7059178091893585,7.167553833968886,3.453130993133684,11.572393989146784
3,12,8.817920662895187,4.039204073179053,6.7855177840221454,6.7589940812007825,3.051071394189428,6.133665283025197,5.02757233215087
4,2,3.067775577829106,4.049583562637101,6.468866295877454,5.349005172656828,6.104491198106274,3.544960637490882,9.55532682884253
5,0,2.501098075639664,4.642797452362996,7.9242930723366936,4.8918851667423136,7.200777415558784,8.204343453505386,5.52362163626706
6,0,4.8829547373830895,8.253581618537233,4.12513677513901,2.4039002368086044,2.0171527019209203,5.039713425256874,5.227103233631931
7,0,6.041879766175373,4.986273725303322,6.093505338453857,5.420974900598333,8.060094018900884,5.301470626658014,5.34462867184848
8,0,5.790327079792188,5.4611749216538765,5.365881924745393,8.582834112408772,9.158421301621736,4.334000930939672,6.493397896807944
9,0,4.743549336508741,4.104991553183854,6.181665058573755,8.728880964411974,5.705101731923251,7.297427257550005,5.913578608264817
10,0,4.083194474595798,8.575996223932524,8.377999594839663,6.404484152332833,4.18137619209588,7.725617769201348,4.658957165622741
11,0,6.344688869302608,5.316397488847123,4.446163865387405,3.11895858325362,6.751146884114192,5.489625879008687,12.05505286498854
12,0,3.737906598435302,3.43897700029213,4.320983477185023,6.55917360516279,4.905191103971776,2.299447268934673,6.869175165602916
13,0,4.610819286294049,4.73831242765308,6.257651945814962,4.125805306797753,4.316022710132019,5.975794666807733,6.6394108734937385
14,0,4.443244559339702,5.818423663878927,2.1212433782020854,6.074123221578925,9.0541973482433,2.1757537618924654,7.5192493926993755
15,0,6.263643493132841,4.951491888811041,4.2592775678696,5.747846617680428,7.297668233509589,6.356440745883582,7.194562732156069
16,0,5.205284512554257,6.974546852754829,2.1247001991539514,2.07888610857679,6.221132231588283,4.718419976260534,6.407149470779177
17,0,2.1409406825344406,6.009976170981835,8.093679339397063,3.130399370892601,3.070274127162716,7.3621209200349575,6.847211697470579
18,0,7.95363220262117,3.337794462356928,3.112702736422125,3.026958111066379,2.6313557452428227,5.677366209292039,9.043579576988062
19,0,7.9588266098040235,4.134378410311846,2.8871681977346157,7.545717438204996,7.2786963539738565,2.500942743681648,6.5697252612518735
20,0,10.29035447269096,4.287398812144934,7.3914430922196965,7.127105994915362,2.4534409364585885,5.99884002745474,6.47420060259986
