T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,1,3.159021187687436,7.445408761362341,5.741848375149936,5.710967608348078,3.3911344390481513,2.3862388245233754,2.96997013333323,8.719995320332266,7.0494826511177795,2.236073536987267
2,3,5.033974403846158,9.251353817571948,6.936714303643502,2.5685747400748236,7.451727514001334,2.52984446532472,5.236294765461922,4.594160141269184,4.380336902766394,4.965085441821243
3,7,2.406890910504047,6.62708407039729,8.146023251395325,5.639650869836553,4.260932189817918,5.001668370827763,6.210657182923086,4.647873409093334,4.884446964537466,2.4165186824962053
4,9,7.659582025792616,2.926145424622948,5.889164821914351,5.403507279443209,7.108949949320467,5.63164543587638,5.1185263227051445,5.048541482329161,3.803107185792241,7.4912891688185095
5,17,5.159805740784466,3.025297614346939,10.452815299970432,9.92077783080888,8.204018389057623,3.193934759328691,3.677364814659395,8.995816340387114,7.525600691795711,9.184379709462196
6,3,2.096293070518442,4.643098386489939,6.253415602323589,2.7699136891276135,4.559825174257346,2.5805508140269584,8.904204201229792,2.0676883067100897,8.054118564435406,5.152659504689932
7,2,7.686936773422815,4.279546093771907,4.592719612434038,6.0652165491429475,5.081457919152742,6.149070459649016,6.323039073259715,8.561020101809877,5.042086118816312,9.905201947795309
8,14,2.3382596481718725,7.327294391280688,7.698945027873167,7.884096072346949,6.013355815273743,10.73946073696109,3.391060713477287,7.176247646236067,5.550774207445487,5.272754749709312
9,4,4.550972104047774,7.910320520673949,5.631924156198332,4.253508634446868,4.548976036628636,3.6287225033148207,2.376526198338235,4.276223283633069,5.703673071730849,5.765075462603628
10,3,4.628544589942894,9.073432140949778,2.923665881166498,2.018322842821096,7.470397881766076,3.598853231905567,5.5794699196756214,8.204087389391043,4.618181061939937,6.018573891009082
11,3,2.5965808539238906,7.447715917331297,5.387920008326969,7.058828626021604,6.1913555915028375,3.8987137977767854,9.659620994574183,6.368520974431292,7.287151473821471,5.143017960712985
12,0,7.87336647389022,7.419550358251624,3.329913732488034,10.033994524179935,2.469200633549276,4.458416681515247,4.5027238995263925,8.35112820534879,7.100265977040514,4.242641314054656
13,3,3.3038759516704967,8.404392813405083,8.060646428575609,4.2290310291428455,5.863977858891465,6.9952691976018935,5.853846742912763,5.587606582635422,7.301732531886767,9.380604826996269
14,1,8.865871045821935,8.064264003169828,6.749369739879979,2.537319376406438,6.0018254088179,7.075601943156302,6.154292973009865,6.49870312498244,4.140075052086327,3.3395782693084075
15,3,6.6305454741414005,5.015592654967833,3.906245568332004,4.970730535226808,7.742875958819732,5.087759848101816,7.08680501659761,4.0112091650503485,4.982104684653321,7.87334431507209
16,1,6.818824480685257,4.008571366654636,7.914722779126052,4.357846134168121,4.001741073066383,6.952660381237761,6.224625783888953,3.2496574717709086,7.27288718627865,5.540422968894246
17,1,4.500837234361453,4.018159951279271,5.173346445005668,7.436486209902503,7.276002066283106,2.338967978743888,4.2322970556732935,3.958976329276956,5.69625020695547,8.503071336321078
18,0,6.343603504457674,5.1485461066173395,6.719018563607295,6.147182065523704,5.486975172108538,6.005147049077352,2.0345634803521855,5.794858378830951,5.922273792008715,6.198378493713463
19,1,2.9588251819341593,7.484657787442997,6.425017166212145,7.936763086631936,3.619604963702074,7.115952704234199,2.813809908257396,4.592503413695341,3.8281357783320797,2.416807898196607
20,0,7.57707739476329,6.881172780166293,5.613780791907073,7.016185809652241,7.126222705188884,4.286039862931816,6.345094238268236,2.9313634107445874,7.259214961519646,2.008138499847874
