T,FC,x1,x2
1,1,8.008115921156024,4.609099683548322
2,5,7.8226800948968975,4.402956364573773
3,4,6.010771990182065,7.367336417944227
4,4,4.5760758597584505,4.042136592451844
5,6,8.22077337885117,7.53331651880967
6,6,7.2454374145645515,5.312148501810444
7,3,6.178786209696046,4.848619643375253
8,5,5.196475849547497,6.067832959407004
9,7,8.20756123344718,7.5794177323171406
10,4,5.925455780408122,3.96294740218286
11,4,3.293350633905606,7.489261670081653
12,4,4.841818937329561,4.024578754664769
13,2,6.138588108000378,6.350846320219142
14,4,4.18340096713073,4.1757038765488765
15,2,2.510054461538273,7.833339976666391
16,3,7.489323391458893,5.728458068203791
17,3,5.570336736872341,4.059578892084213
18,2,4.563557415867424,3.1597119665258386
19,1,4.387384851254213,9.122529900962277
20,2,4.182833452261109,2.3280897817586634
