T,FC,x1,x2,x3
1,1,7.044019851356306,5.647067184402295,2.5398927259928437
2,0,2.9223841949425613,5.1575627619737086,3.8590675363046323
3,1,6.0594967723428965,7.271865914969047,7.196959470073019
4,2,8.152757616851314,6.714806325583252,7.597082200835187
5,0,5.149209427204034,5.114236174245859,6.813107195393793
6,5,4.767077439594994,7.809769426212194,3.432424974306411
7,2,3.299468223618667,6.483427042074271,4.017415175808183
8,8,2.3217708967517803,4.774061401556025,8.850451664164117
9,1,7.014279253687353,4.253770721393388,7.477209267483532
10,1,5.916288829055682,6.199452608378323,3.6738189907683463
11,5,7.767491240623528,9.07421924309398,5.922719040034535
12,8,8.435752730328831,3.4546366539289215,7.164863700490331
13,3,5.6519526419968,9.690234746334529,4.841451242022158
14,3,4.935799996780183,4.031880467854964,4.372622760351007
15,2,6.674961668943342,2.114221547586706,5.173041026873356
16,1,3.568019901584661,8.999540616883618,2.619019592787374
17,2,3.3591145258215778,2.5952975669235845,7.024743365843522
18,1,5.445679137624093,4.5451593485527475,4.25790899915809
19,3,8.073315571921855,4.317234930356813,4.031847307409814
20,2,2.402137869041045,6.240453132677974,7.037303338201035
