T,FC,x1,x2,x3,x4
1,1,6.362867683577083,6.776138647780871,3.20585172679427,5.6444353844740665
2,3,3.4759282438872807,7.746222173468215,2.2865325827638054,3.0462152980863357
3,2,8.45142450930335,2.662679666531855,2.7654299284537314,6.238258299352972
4,3,7.9462457971946865,5.611711071064229,3.8022662977564403,2.0631528518786286
5,4,4.210030172333619,7.848622780746618,3.480576434831421,6.0378899710594
6,3,7.193811739673507,4.962750454187876,7.698352725717793,7.082196652559482
7,6,5.772761159278687,4.806104957752896,7.971979501763778,7.028605430608222
8,4,6.144450613153196,4.711004594653257,8.836998938419015,8.169214482143857
9,3,2.574047653432012,4.906210954491611,2.4217537799457336,4.647912669950104
10,6,7.563372918079953,7.0877101890096394,8.140513788706304,2.018911418390407
11,7,4.165820140343643,8.541669938100886,4.726554247779076,7.845664571922858
12,2,7.435165081012041,6.834434700333761,6.060398809780418,4.086226894466134
13,4,2.7959811922902817,4.033100340132006,2.0569776494184353,2.047325272332943
14,3,4.327590050946026,4.391905709090126,3.9852988914672216,2.12065304471857
15,4,7.963026780735507,5.361312894836825,3.3724492711911767,7.488567555582185
16,4,7.738205520312761,2.9077391299597144,7.2838967860147505,6.870036498194102
17,3,6.241001596755256,9.450210531143302,8.115093482911643,6.950146267369067
18,0,7.590378987212053,7.100510653695344,7.325051586723185,6.023182250637726
19,0,4.846833553627216,5.813504390369339,7.2224412473604325,2.7686561654839066
20,2,9.467207436603573,4.426137091519321,5.406961179092937,3.580718499765641
